受保人	shoubaoren,sbr
受币	shoubi,sb
受瘪	shoubie,sb
受病	shoubing,sb
受不了	shoubuliao,sbl
受材	shoucai,sc
受藏	shoucang,sc
受册	shouce,sc
受茶	shoucha,sc
受禅	shoushan,ss
受禅碑	shoushanbei,ssb
受禅台	shoushantai,sst
受廛	shouchan,sc
受朝	shouchao,sc
受嘲弄地	shouchaonongde,scnd
受嘲笑地	shouchaoxiaode,scxd
受潮	shouchao,sc
受尘	shouchen,sc
受成	shoucheng,sc
受惩罚	shouchengfa,scf
受持	shouchi,sc
受宠	shouchong,sc
受宠若惊	shouchongruojing,scrj
受绌	shouchu,sc
受黜	shouchu,sc
受词	shouci,sc
受辞	shouci,sc
受挫	shoucuo,sc
受代	shoudai,sd
受绐	shoudai,sd
受到	shoudao,sd
受得了	shoudeliao,sdl
受敌	shoudi,sd
受电弓	shoudiangong,sdg
受动	shoudong,sd
受冻挨饿	shoudongaie,sdae
受度	shoudu,sd
受恩	shouen,se
受罚	shoufa,sf
受法	shoufa,sf
受法律保护权	shoufalubaohuquan,sflbhq
受访	shoufang,sf
受访者	shoufangzhe,sfz
受粉	shoufen,sf
受封	shoufeng,sf
受俸	shoufeng,sf
受服	shoufu,sf
受俘	shoufu,sf
受符	shoufu,sf
受福	shoufu,sf
受膏	shougao,sg
受格	shouge,sg
受耕	shougeng,sg
受够	shougou,sg
受雇	shougu,sg
受官厅	shouguanting,sgt
受过	shouguo,sg
受害	shouhai,sh
受害人	shouhairen,shr
受害者	shouhaizhe,shz
受寒	shouhan,sh
受旱	shouhan,sh
受祜	shouhu,sh
受话器	shouhuaqi,shq
受欢迎	shouhuanying,shy
受贿	shouhui,sh
受贿罪	shouhuizui,shz
受惠	shouhui,sh
受诨承科	shouhunchengke,shck
受祸	shouhuo,sh
受激辐射	shoujifushe,sjfs
受计	shouji,sj
受记	shouji,sj
受纪	shouji,sj
受夹板气	shoujiabanqi,sjbq
受夹板罪	shoujiabanzui,sjbz
受家	shoujia,sj
受检	shoujian,sj
受奖	shoujiang,sj
受奬	shoujiang,sj
受降	shouxiang,sx
受降城	shouxiangcheng,sxc
受降仪式	shouxiangyishi,sxys
受交友地	shoujiaoyoude,sjyd
受教	shoujiao,sj
受节	shoujie,sj
受戒	shoujie,sj
受尽	shoujin,sj
受进	shoujin,sj
受浸	shoujin,sj
受经	shoujing,sj
受惊	shoujing,sj
受精	shoujing,sj
受精卵	shoujingluan,sjl
受精囊	shoujingnang,sjn
受窘	shoujiong,sj
受具	shouju,sj
受窭	shouju,sj
受爵	shoujue,sj
受看	shoukan,sk
受苦	shouku,sk
受块	shoukuai,sk
受亏	shoukui,sk
受困	shoukun,sk
受困惑地	shoukunhuode,skhd
受累	shoulei,sl
受冷	shouleng,sl
受厘	shouli,sl
受礼	shouli,sl
受理	shouli,sl
受凉	shouliang,sl
受领	shouling,sl
受领者	shoulingzhe,slz
受赂	shoulu,sl
受禄	shoulu,sl
受箓	shoulu,sl
受戮	shoulu,sl
受律	shoulu,sl
受民	shoumin,sm
受名	shouming,sm
受命	shouming,sm
受命宝	shoumingbao,smb
受命不受辞	shoumingbuci,smbc
受命玺	shoumingxi,smx
受命于天	shoumingyutian,smyt
受目	shoumu,sm
受纳	shouna,sn
受难	shounan,sn
受难纪念	shounanjinian,snjn
受难日	shounanri,snr
受难者	shounanzhe,snz
受虐	shounue,sn
受虐狂	shounuekuang,snk
受盘	shoupan,sp
受骗	shoupian,sp
受聘	shoupin,sp
受聘于	shoupinyu,spy
受气	shouqi,sq
受气包	shouqibao,sqb
受穷	shouqiong,sq
受赇	shouqiu,sq
受诎	shouqu,sq
受屈	shouqu,sq
受取	shouqu,sq
受权	shouquan,sq
受热	shoure,sr
受任	shouren,sr
受辱	shouru,sr
受嬗	shoushan,ss
受伤	shoushang,ss
受伤地	shoushangde,ssd
受赏	shoushang,ss
受射	shoushe,ss
受身	shoushen,ss
受审	shoushen,ss
受脤	shoushen,ss
