摇把	yaoba,yb
摇摆	yaobai,yb
摇摆不定	yaobaibuding,ybbd
摇摆地	yaobaide,ybd
摇摆舞	yaobaiwu,ybw
摇摆州	yaobaizhou,ybz
摇笔杆儿	yaobiganer,ybge
摇笔即来	yaobijilai,ybjl
摇臂	yaobi,yb
摇船	yaochuan,yc
摇唇鼓喙	yaochunguhui,ycgh
摇唇鼓舌	yaochungushe,ycgs
摇荡	yaodang,yd
摇电话	yaodianhua,ydh
摇动	yaodong,yd
摇动地	yaodongde,ydd
摇鹅毛扇	yaoemaoshan,yems
摇杆	yaogan,yg
摇光	yaoguang,yg
摇滚	yaogun,yg
摇滚乐	yaogunyue,ygy
摇撼	yaohan,yh
摇号	yaohao,yh
摇晃	yaohuang,yh
摇晃地	yaohuangde,yhd
摇晃地悬挂着	yaohuangdexuanguazhe,yhdxgz
摇奖	yaojiang,yj
摇篮	yaolan,yl
摇篮曲	yaolanqu,ylq
摇橹	yaolu,yl
摇橹船	yaoluchuan,ylc
摇旗呐喊	yaoqinahan,yqnh
摇钱树	yaoqianshu,yqs
摇身	yaoshen,ys
摇身一变	yaoshenyibian,ysyb
摇手	yaoshou,ys
摇手触禁	yaoshouchujin,yscj
摇头	yaotou,yt
摇头摆脑	yaotoubainao,ytbn
摇头摆尾	yaotoubaiwei,ytbw
摇头稾脑	yaotougaonao,ytgn
摇头晃脑	yaotouhuangnao,ythn
摇头幌脑	yaotouhuangnao,ythn
摇头麰尾	yaotoumouwei,ytmw
摇头叹息	yaotoutanxi,yttx
摇头丸	yaotouwan,ytw
摇尾乞怜	yaoweiqilian,ywql
摇尾求食	yaoweiqiushi,ywqs
摇尾涂中	yaoweituzhong,ywtz
摇席破坐	yaoxipozuo,yxpz
摇席破座	yaoxipozuo,yxpz
摇摇摆摆	yaobai,yb
摇摇欲坠	yaoyuzhui,yyz
摇曳	yaoye,yy
摇曳地	yaoyede,yyd
摇曳多姿	yaoyeduozi,yydz
摇椅	yaoyi,yy
摇羽毛扇	yaoyumaoshan,yyms
摇匀	yaoyun,yy
摇战	yaozhan,yz
摇嘴掉舌	yaozuidiaoshe,yzds
