憎爱	zengai,za
憎爱分明	zengaifenming,zafm
憎丑	zengchou,zc
憎毒	zengdu,zd
憎妒	zengdu,zd
憎妬	zengdu,zd
憎恶	zengwu,zw
憎恶地	zengwude,zwd
憎烦	zengfan,zf
憎愤	zengfen,zf
憎风	zengfeng,zf
憎恨	zenghen,zh
憎恨地	zenghende,zhd
憎毁	zenghui,zh
憎恚	zenghui,zh
憎疾	zengji,zj
憎嫉	zengji,zj
憎忌	zengji,zj
憎怜	zenglian,zl
憎命	zengming,zm
憎人	zengren,zr
憎畏	zengwei,zw
憎忤	zengwu,zw
憎嫌	zengxian,zx
憎厌	zengyan,zy
憎怨	zengyuan,zy
