刨笔刀	baobidao,bbd
刨冰	baobing,bb
刨程	baocheng,bc
刨齿	baochi,bc
刨除	paochu,pc
刨床	baochuang,bc
刨刀	baodao,bd
刨分儿	paofener,pfe
刨根	paogen,pg
刨根儿	paogener,pge
刨根究底	paogenjiudi,pgjd
刨根问底	paogenwendi,pgwd
刨工	paogong,pg
刨光	baoguang,bg
刨花	baohua,bh
刨花板	baohuaban,bhb
刨花水	paohuashui,phs
刨木板	baomuban,bmb
刨平	baoping,bp
刨梢	paoshao,ps
刨身	baoshen,bs
刨食	paoshi,ps
刨树搜根	paoshusougen,pssg
刨丝器	baosiqi,bsq
刨头	baotou,bt
刨削	paoxue,px
刨烟铺	paoyanpu,pyp
刨治	paozhi,pz
刨子	baozi,bz
刨祖坟	paozufen,pzf
