旄车	maoche,mc
旄幢	maozhuang,mz
旄纛	maodao,md
旄狄	maodi,md
旄端	maoduan,md
旄敦	maodun,md
旄麾	maohui,mh
旄节	maojie,mj
旄旌	maojing,mj
旄俊	maojun,mj
旄旒	maoliu,ml
旄马	maoma,mm
旄倪	maoni,mn
旄牛	maoniu,mn
旄期	maoqi,mq
旄骑	maoqi,mq
旄丘	maoqiu,mq
旄人	maoren,mr
旄山	maoshan,ms
旄头	maotou,mt
旄舞	maowu,mw
旄象	maoxiang,mx
旄星	maoxing,mx
旄羽	maoyu,my
旄钺	maoyue,my
旄毡	maozhan,mz
旄麈	maozhu,mz
