缇盎	tiang,ta
缇幢	tizhuang,tz
缇彀	tigou,tg
缇麾	tihui,th
缇罽	tiji,tj
缇幔	timan,tm
缇缦	timan,tm
缇幕	timu,tm
缇齐	tiqi,tq
缇骑	tiqi,tq
缇绮	tiqi,tq
缇室	tishi,ts
缇帅	tishuai,ts
缇纨	tiwan,tw
缇帷	tiwei,tw
缇袭	tixi,tx
缇缃	tixiang,tx
缇校	tixiao,tx
缇绣	tixiu,tx
缇衣	tiyi,ty
缇萦	tiying,ty
缇油	tiyou,ty
缇籥	tiyue,ty
缇缯	tizeng,tz
缇帙	tizhi,tz
缇紫	tizi,tz
