技道	jidao,jd
技法	jifa,jf
技高一筹	jigaoyichou,jgyc
技工	jigong,jg
技工学校	jigongxuexiao,jgxx
技和	jihe,jh
技击	ji,j
技机	ji,j
技嘉	jijia,jj
技乐	jile,jl
技俩	jiliang,jl
技掚	jiliang,jl
技能	jineng,jn
技佞	jining,jn
技女	jinu,jn
技巧	jiqiao,jq
技巧地	jiqiaode,jqd
技巧运动	jiqiaoyundong,jqyd
技穷	jiqiong,jq
技人	jiren,jr
技师	jishi,js
技士	jishi,js
技术	jishu,js
技术标准	jishubiaozhun,jsbz
技术地	jishude,jsd
技术发展	jishufazhan,jsfz
技术方案	jishufangan,jsfa
技术革命	jishugeming,jsgm
技术革新	jishugexin,jsgx
技术故障	jishuguzhang,jsgz
技术官僚	jishuguanliao,jsgl
技术规范	jishuguifan,jsgf
技术好地	jishuhaode,jshd
技术密集型	jishumixing,jsmx
技术潜水	jishuqianshui,jsqs
技术人员	jishurenyuan,jsry
技术上地	jishushangde,jssd
技术所限	jishusuoxian,jssx
技术性	jishuxing,jsx
技术学校	jishuxuexiao,jsxx
技术员	jishuyuan,jsy
技术援助	jishuyuanzhu,jsyz
技术知识	jishuzhishi,jszs
技术指导	jishuzhidao,jszd
技术作物	jishuzuowu,jszw
技系	jixi,jx
技校	jixiao,jx
技养	jiyang,jy
技痒	jiyang,jy
技懩	jiyang,jy
技业	jiye,jy
技艺	jiyi,jy
技蓺	jiyi,jy
技勇	jiyong,jy
技用	jiyong,jy
技职	jizhi,jz
