坤包	kunbao,kb
坤表	kunbiao,kb
坤策	kunce,kc
坤车	kunche,kc
坤成	kuncheng,kc
坤旦	kundan,kd
坤道	kundao,kd
坤德	kunde,kd
坤典	kundian,kd
坤甸	kundian,kd
坤后	kunhou,kh
坤厚	kunhou,kh
坤极	kunji,kj
坤角	kunjue,kj
坤角儿	kunjueer,kje
坤伶	kunling,kl
坤灵	kunling,kl
坤马	kunma,km
坤倪	kunni,kn
坤宁宫	kunninggong,kng
坤牛	kunniu,kn
坤乾	kunqian,kq
坤枢	kunshu,ks
坤顺	kunshun,ks
坤维	kunwei,kw
坤仪	kunyi,ky
坤垠	kunyin,ky
坤隅	kunyu,ky
坤舆	kunyu,ky
坤育	kunyu,ky
坤元	kunyuan,ky
坤载	kunzai,kz
坤造	kunzao,kz
坤则	kunze,kz
坤宅	kunzhai,kz
坤珍	kunzhen,kz
坤轴	kunzhou,kz
