恨不得	henbude,hbd
恨不能	henbuneng,hbn
恨怅	henchang,hc
恨毒	hendu,hd
恨恶	henwu,hw
恨愤	henfen,hf
恨骨	hengu,hg
恨怪	henguai,hg
恨海	henhai,hh
恨海难填	henhainantian,hhnt
恨恨	hen,h
恨恨地	hende,hd
恨恨地离开	hendelikai,hdlk
恨恨地说	hendeshuo,hds
恨悔	henhui,hh
恨恚	henhui,hh
恨火	henhuo,hh
恨苦	henku,hk
恨悷	henli,hl
恨命	henming,hm
恨怒	hennu,hn
恨气	henqi,hq
恨人	henren,hr
恨如头醋	henrutoucu,hrtc
恨入骨髓	henrugusui,hrgs
恨色	hense,hs
恨事	henshi,hs
恨铁不成钢	hentiebuchenggang,htbcg
恨透	hentou,ht
恨惋	henwan,hw
恨晚	henwan,hw
恨望	henwang,hw
恨五骂六	henwumaliu,hwml
恨嫌	henxian,hx
恨相见晚	henxiangjianwan,hxjw
恨相见晩	henxiangjianwan,hxjw
恨相知晚	henxiangzhiwan,hxzw
恨相知晩	henxiangzhiwan,hxzw
恨心	henxin,hx
恨血	henxue,hx
恨悒	henyi,hy
恨意	henyi,hy
恨怨	henyuan,hy
恨咤	henzha,hz
恨之入骨	henzhirugu,hzrg
