疯病	fengbing,fb
疯杈	fengcha,fc
疯巅	fengdian,fd
疯癫	fengdian,fd
疯癫识倒	fengdianshidao,fdsd
疯癫院	fengdianyuan,fdy
疯疯颠颠	fengdian,fd
疯疯癫癫	fengdian,fd
疯疯势势	fengshi,fs
疯狗	fenggou,fg
疯话	fenghua,fh
疯狂	fengkuang,fk
疯狂地	fengkuangde,fkd
疯狂地增长	fengkuangdezengzhang,fkdzz
疯狂似地	fengkuangshide,fksd
疯蒙	fengmeng,fm
疯魔	fengmo,fm
疯闹	fengnao,fn
疯牛病	fengniubing,fnb
疯气	fengqi,fq
疯犬	fengquan,fq
疯犬病	fengquanbing,fqb
疯人	fengren,fr
疯人院	fengrenyuan,fry
疯儍	fengsha,fs
疯瘫	fengtan,ft
疯痰病	fengtanbing,ftb
疯头疯脑	fengtounao,ftn
疯语	fengyu,fy
疯长	fengzhang,fz
疯枝	fengzhi,fz
疯子	fengzi,fz
疯子似地	fengzishide,fzsd
疯子院	fengziyuan,fzy
