兄弟	xiongdi,xd
兄弟般地	xiongdeban,xdb
兄弟会	xiongdihui,xdh
兄弟姐妹	xiongdijiemei,xdjm
兄弟似地	xiongdeshi,xds
兄弟阋墙	xiongdixiqiang,xdxq
兄弟阋于墙	xiongdixiyuqiang,xdxyq
兄弟怡怡	xiongdiyi,xdy
兄肥弟瘦	xiongfeidishou,xfds
兄公	xionggong,xg
兄妹	xiongmei,xm
兄嫂	xiongsao,xs
兄死弟及	xiongsidiji,xsdj
兄台	xiongtai,xt
兄兄	xiong,x
兄友弟恭	xiongyoudigong,xydg
兄长	xiongzhang,xz
