卒暴	zubao,zb
卒兵	zubing,zb
卒乘	zusheng,zs
卒读	zudu,zd
卒而	zuer,ze
卒尔	zuer,ze
卒贰	zuer,ze
卒风暴雨	zufengbaoyu,zfby
卒更	zugeng,zg
卒急	zuji,zj
卒遽	zuju,zj
卒爵	zujue,zj
卒哭	zuku,zk
卒隶	zuli,zl
卒列	zulie,zl
卒溜急剌	zuliujila,zljl
卒律	zulu,zl
卒律律	zulu,zl
卒年	zunian,zn
卒奴	zunu,zn
卒迫	zupo,zp
卒然	zuran,zr
卒丧	zusang,zs
卒时	zushi,zs
卒史	zushi,zs
卒使	zushi,zs
卒士	zushi,zs
卒岁	zusui,zs
卒徒	zutu,zt
卒伍	zuwu,zw
卒业	zuye,zy
卒业生	zuyesheng,zys
卒乍	zuzha,zz
卒章	zuzhang,zz
卒长	zuchang,zc
卒中	cuzhong,cz
卒子	zuzi,zz
卒卒	cu,c
