杠棒	gangbang,gb
杠荡	gangdang,gd
杠刀	gangdao,gd
杠刀布	gangdaobu,gdb
杠掉	gangdiao,gd
杠房	gangfang,gf
杠房头	gangfangtou,gft
杠夫	gangfu,gf
杠盖	ganggai,gg
杠杆	ganggan,gg
杠杆收购	gangganshougou,ggsg
杠杆原理	gangganyuanli,ggyl
杠杠	gang,g
杠杠地	gangde,gd
杠毂	ganggu,gg
杠龟	ganggui,gg
杠架	gangjia,gj
杠精	gangjing,gj
杠梁	gangliang,gl
杠铃	gangling,gl
杠铺	gangpu,gp
杠上	gangshang,gs
杠首	gangshou,gs
杠台	gangtai,gt
杠枱	gangtai,gt
杠头	gangtou,gt
杠衣	gangyi,gy
杠彴	gangzhuo,gz
杠子	gangzi,gz
