古奥	guao,ga
古巴	guba,gb
古巴比伦	gubabilun,gbbl
古板	guban,gb
古板地	gubande,gbd
古堡	gubao,gb
古北	gubei,gb
古北界	gubeijie,gbj
古北口	gubeikou,gbk
古北区	gubeiqu,gbq
古贝	gubei,gb
古本	guben,gb
古币	gubi,gb
古别离	gubieli,gbl
古波	gubo,gb
古操	gucao,gc
古查	guzha,gz
古槎	gucha,gc
古钗	guchai,gc
古钗脚	guchaijiao,gcj
古常	guchang,gc
古成	gucheng,gc
古城	gucheng,gc
古城区	guchengqu,gcq
古驰	guchi,gc
古愁	guchou,gc
古初	guchu,gc
古处	guchu,gc
古春	guchun,gc
古辞	guci,gc
古厝	gucuo,gc
古代	gudai,gd
古代东方	gudaidongfang,gddf
古代史	gudaishi,gds
古代希腊	gudaixila,gdxl
古代英雄的石像	gudaiyingxiongdeshixiang,gdyxdsx
古淡	gudan,gd
古澹	gudan,gd
古盗鸟	gudaoniao,gdn
古道	gudao,gd
古道热肠	gudaorechang,gdrc
古德	gude,gd
古地磁	gudici,gdc
古地理学	gudilixue,gdlx
古登堡	gudengbao,gdb
古帝	gudi,gd
古典	gudian,gd
古典概型	gudiangaixing,gdgx
古典经济学	gudianjingjixue,gdjjx
古典乐	gudianyue,gdy
古典派	gudianpai,gdp
古典式摔跤	gudianshishuaijiao,gdssj
古典文学	gudianwenxue,gdwx
古典舞蹈	gudianwudao,gdwd
古典音乐	gudianyinyue,gdyy
古典语言	gudianyuyan,gdyy
古典主义	gudianzhuyi,gdzy
古调	gudiao,gd
古调不弹	gudiaobutan,gdbt
古调单弹	gudiaodantan,gddt
古调诗	gudiaoshi,gds
古定刀	gudingdao,gdd
古定剑	gudingjian,gdj
古锭刀	gudingdao,gdd
古董	gudong,gd
古董滩	gudongtan,gdt
古都	gudu,gd
古都都	gududou,gdd
古读	gudu,gd
古度	gudu,gd
古渡	gudu,gd
古儿汗	guerhan,geh
古尔班通古特沙漠	guerbantongteshamo,gebttsm
古尔邦节	guerbangjie,gebj
古法	gufa,gf
古方	gufang,gf
古肥今瘠	gufeijinji,gfjj
古风	gufeng,gf
古佛	gufo,gf
古赋	gufu,gf
古根海姆	gugenhaimu,gghm
古根罕	gugenhan,ggh
古根罕喷气推进研究中心	gugenhanpenqituijinyanjiuzhongxin,gghpqtjyjzx
古蛊	gu,g
古怪	guguai,gg
古怪地	guguaide,ggd
古恠	guguai,gg
古冠	guguan,gg
古国	guguo,gg
古汉语	guhanyu,ghy
古恨	guhen,gh
古后	guhou,gh
古胡	guhu,gh
古画	guhua,gh
古话	guhua,gh
古欢	guhuan,gh
古皇	guhuang,gh
古皇氏	guhuangshi,ghs
古黄	guhuang,gh
古货	guhuo,gh
古惑仔	guhuozai,ghz
古吉拉特	gujilate,gjlt
古吉拉特邦	gujilatebang,gjltb
古吉拉特人	gujilateren,gjltr
古籍	guji,gj
古脊椎动物学	gujizhuidongwuxue,gjzdwx
古记	guji,gj
古迹	guji,gj
古假	gujia,gj
古简	gujian,gj
古建	gujian,gj
古健	gujian,gj
古交	gujiao,gj
古交市	gujiaoshi,gjs
古节	gujie,gj
古杰拉尔	gujielaer,gjle
古杰拉特邦	gujielatebang,gjltb
古今	gujin,gj
古今谭概	gujintangai,gjtg
古今图书集成	gujintushujicheng,gjtsjc
古今小说	gujinxiaoshuo,gjxs
古今韵会举要	gujinyunhuijuyao,gjyhjy
古今中外	gujinzhongwai,gjzw
古锦	gujin,gj
古锦囊	gujinnang,gjn
古劲	gujing,gj
古晋	gujin,gj
古经	gujing,gj
古井	gujing,gj
古井不波	gujingbubo,gjbb
古井无波	gujingwubo,gjwb
古镜	gujing,gj
古镜记	gujingji,gjj
古旧	gujiu,gj
古柯	guke,gk
古柯碱	gukejian,gkj
古柯树	gukeshu,gks
古刻	guke,gk
古坑	gukeng,gk
古坑乡	gukengxiang,gkx
古馗	gukui,gk
古拉格	gulage,glg
古喇水	gulashui,gls
古剌剌	gula,gl
古剌水	gulashui,gls
古来	gulai,gl
古兰经	gulanjing,glj
古浪	gulang,gl
古浪县	gulangxian,glx
古老	gulao,gl
古老钱	gulaoqian,glq
古老肉	gulaorou,glr
古乐	gule,gl
古乐府	guyuefu,gyf
古垒	gulei,gl
古离古怪	guliguai,glg
古礼	guli,gl
古里古怪	guliguai,glg
古里甲	gulijia,glj
古历	guli,gl
古隶	guli,gl
古烈	gulie,gl
古邻	gulin,gl
古蔺	gulin,gl
古蔺县	gulinxian,glx
古灵精怪	gulingjingguai,gljg
古龙	gulong,gl
古楼子	gulouzi,glz
古鲁	gulu,gl
古鲁鲁	gulu,gl
古鹿鹿	gulu,gl
古律	gulu,gl
古律尺	guluchi,glc
古罗马	guluoma,glm
古茂	gumao,gm
古貌	gumao,gm
古貌古心	gumaoxin,gmx
古门	gumen,gm
古门道	gumendao,gmd
古邈	gumiao,gm
古墨	gumo,gm
古木参天	gumucantian,gmct
古墓	gumu,gm
古墓丽影	gumuliying,gmly
古墓葬群	gumuzangqun,gmzq
古穆	gumu,gm
古诺	gunuo,gn
古僻	gupi,gp
古朴	gupiao,gp
古奇	guqi,gq
古气	guqi,gq
古气候学	guqihouxue,gqhx
古器	guqi,gq
古钱	guqian,gq
古腔古调	guqiangdiao,gqd
古峭	guqiao,gq
古琴	guqin,gq
古趣	guqu,gq
古悫	guque,gq
古人	guren,gr
古人类	gurenlei,grl
古人类学	gurenleixue,grlx
古驲	guri,gr
古色	guse,gs
古色古香	gusexiang,gsx
古涩	guse,gs
古歰	guse,gs
古刹	gucha,gc
古生代	gushengdai,gsd
古生物	gushengwu,gsw
古生物学	gushengwuxue,gswx
古生物学家	gushengwuxuejia,gswxj
古圣先贤	gushengxian,gsx
古尸	gushi,gs
古诗	gushi,gs
古诗十九首	gushijiushou,gsjs
古诗源	gushiyuan,gsy
古时	gushi,gs
古时候	gushihou,gsh
古史	gushi,gs
古始	gushi,gs
古式	gushi,gs
古事	gushi,gs
古是今非	gushijingfei,gsjf
古书	gushu,gs
古戍	gushu,gs
古孙	gusun,gs
古塔	guta,gt
古塔区	gutaqu,gtq
古态	gutai,gt
古特雷斯	guteleisi,gtls
古腾堡计划	gutengbaojihua,gtbjh
古藤	guteng,gt
古体	guti,gt
古体诗	gutishi,gts
古田	gutian,gt
古田会议	gutianhuiyi,gthy
古田县	gutianxian,gtx
古铁	gutie,gt
古铜	gutong,gt
古铜色	gutongse,gts
古铜色卷尾	gutongsejuanwei,gtsjw
古突突	gutu,gt
古土	gutu,gt
古丸	guwan,gw
古玩	guwan,gw
古玩店	guwandian,gwd
古往	guwang,gw
古往今来	guwangjinlai,gwjl
古为今用	guweijinyong,gwjy
古味	guwei,gw
古文	guwen,gw
古文辞类纂	guwencileizuan,gwclz
古文观止	guwenguanzhi,gwgz
古文家	guwenjia,gwj
古文经	guwenjing,gwj
古文经学	guwenjingxue,gwjx
古文明	guwenming,gwm
