重机枪	zhongjiqiang,zjq
重基	zhongji,zj
重赍	zhongji,zj
重级	zhongji,zj
重计	zhongji,zj
重纪	zhongji,zj
重迹	zhongji,zj
重迹屏气	chongjibingqi,cjbq
重寄	zhongji,zj
重祭	zhongji,zj
重甲	zhongjia,zj
重价	zhongjia,zj
重驾	zhongjia,zj
重监	zhongjian,zj
重茧	chongjian,cj
重趼	chongjian,cj
重蠒	zhongjian,zj
重见天日	chongjiantianri,cjtr
重建	chongjian,cj
重剑	zhongjian,zj
重荐	zhongjian,zj
重涧	zhongjian,zj
重江	zhongjiang,zj
重将	zhongjiang,zj
重奖	zhongjiang,zj
重较	zhongjiao,zj
重劫	zhongjie,zj
重结	zhongjie,zj
重结晶	zhongjiejing,zjj
重睫	zhongjie,zj
重介	zhongjie,zj
重戒	zhongjie,zj
重金	zhongjin,zj
重金兼紫	zhongjinjianzi,zjjz
重金属	zhongjinshu,zjs
重金属污染	zhongjinshuwuran,zjswr
重金袭汤	chongjinxitang,cjxt
重襟	zhongjin,zj
重锦	zhongjin,zj
重禁	zhongjin,zj
重晶石	zhongjingshi,zjs
重睛	zhongjing,zj
重景	zhongjing,zj
重敬	zhongjing,zj
重扃	zhongjiong,zj
重究	zhongjiu,zj
重九	chongjiu,cj
重九登高	chongjiudenggao,cjdg
重九译	chongjiuyi,cjy
重酒	zhongjiu,zj
重咎	zhongjiu,zj
重居	zhongju,zj
重举	zhongju,zj
重巨	zhongju,zj
重句	zhongju,zj
重钜	zhongju,zj
重聚	chongju,cj
重爵	zhongjue,zj
重峻	zhongjun,zj
重卡	zhongka,zk
重开	chongkai,ck
重刊	zhongkan,zk
重坎	zhongkan,zk
重亢	zhongkang,zk
重科	zhongke,zk
重刻	zhongke,zk
重客	zhongke,zk
重口味	zhongkouwei,zkw
重纩	zhongkuang,zk
重贶	zhongkuang,zk
重困	zhongkun,zk
重辣	zhongla,zl
重来	chonglai,cl
重来郭伋	chonglaiguoji,clgj
重栏	zhonglan,zl
重郎	zhonglang,zl
重劳	zhonglao,zl
重轑	zhonglao,zl
重酪	zhonglao,zl
重垒	zhonglei,zl
重絫	zhonglei,zl
重累	zhonglei,zl
重离	zhongli,zl
重离子	zhonglizi,zlz
重蔾	zhongli,zl
重黎	chongli,cl
重礼	zhongli,zl
重理旧业	chonglijiuye,cljy
重力	zhongli,zl
重力场	zhonglichang,zlc
重力地貌	zhonglidimao,zldm
重力加速度	zhonglijiasudu,zljsd
重力性休克	zhonglixingxiuke,zlxxk
重力异常	zhongliyichang,zlyc
重历旧游	chonglijiuyou,cljy
重利	zhongli,zl
重利盘剥	zhonglipanbo,zlpb
重利轻义	zhongliqingyi,zlqy
重戾	zhongli,zl
重栎	zhongli,zl
重奁	zhonglian,zl
重连	chonglian,cl
重帘	zhonglian,zl
重联	chonglian,cl
重敛	zhonglian,zl
重练	zhonglian,zl
重量	zhongliang,zl
重量单位	zhongliangdanwei,zldw
重量吨	zhongliangdun,zld
重量级	zhongliangji,zlj
重量轻质	zhongliangqingzhi,zlqz
重量训练	zhongliangxunlian,zlxl
重橑	zhonglao,zl
重列	zhonglie,zl
重林	zhonglin,zl
重岭	zhongling,zl
重溜	zhongliu,zl
重流	zhongliu,zl
重楼	zhonglou,zl
重楼金线	zhongloujinxian,zljx
重赂	zhonglu,zl
重禄	zhonglu,zl
重路	zhonglu,zl
重戮	zhonglu,zl
重峦	zhongluan,zl
重峦迭巘	chongluandieyan,cldy
重峦迭嶂	chongluandiezhang,cldz
重峦叠巘	chongluandieyan,cldy
重峦叠嶂	chongluandiezhang,cldz
重峦复嶂	chongluanfuzhang,clfz
重栾	zhongluan,zl
重卵	zhongluan,zl
重乱	zhongluan,zl
重轮	zhonglun,zl
重罗	zhongluo,zl
重罗面	zhongluomian,zlm
重落	zhongluo,zl
重马	zhongma,zm
重码	chongma,cm
重码词频	chongmacipin,cmcp
重幔	zhongman,zm
重耄	zhongmao,zm
重鋂	zhongmei,zm
重门	chongmen,cm
重门叠户	zhongmendiehu,zmdh
重门击柝	chongmenjituo,cmjt
重盟	zhongmeng,zm
重蒙	zhongmeng,zm
重密	zhongmi,zm
重民	zhongmin,zm
重名	zhongming,zm
重明	zhongming,zm
重明继焰	chongmingjiyan,cmjy
重明节	zhongmingjie,zmj
重明枕	zhongmingzhen,zmz
重冥	zhongming,zm
重溟	zhongming,zm
重命	zhongming,zm
重募	zhongmu,zm
重男轻女	zhongnanqingnu,znqn
重难	zhongnan,zn
重逆	zhongni,zn
重逆无道	zhongniwudao,znwd
重年	zhongnian,zn
重念	zhongnian,zn
重酿	zhongniang,zn
重农	zhongnong,zn
重农轻末	zhongnongqingmo,znqm
重农轻商	zhongnongqingshang,znqs
重怒	zhongnu,zn
重诺	zhongnuo,zn
重葩	zhongpa,zp
重葩累藻	chongpaleizao,cplz
重拍	chongpai,cp
重排	chongpai,cp
重判	zhongpan,zp
重炮	zhongpao,zp
重纰貤缪	chongpiyimiu,cpym
重披战袍	chongpizhanpao,cpzp
重皮叠髓	zhongpidiesui,zpds
重辟	zhongpi,zp
重贫	zhongpin,zp
重聘	zhongpin,zp
重评	chongping,cp
重骑	zhongqi,zq
重启	chongqi,cq
重起炉灶	chongqiluzao,cqlz
重气	zhongqi,zq
重气轻命	zhongqiqingming,zqqm
重气轻生	zhongqiqingsheng,zqqs
重气徇名	zhongqixunming,zqxm
重气徇命	zhongqixunming,zqxm
重气狥名	zhongqixunming,zqxm
重器	zhongqi,zq
重迁	zhongqian,zq
重钱	zhongqian,zq
重堑	zhongqian,zq
重强	zhongqiang,zq
重乔	zhongqiao,zq
重亲	zhongqin,zq
重衾	chongqin,cq
重勤	zhongqin,zq
重氢	zhongqing,zq
重轻	zhongqing,zq
重囚	zhongqiu,zq
重求	zhongqiu,zq
重裘	chongqiu,cq
重躯	zhongqu,zq
重权	zhongquan,zq
重泉	zhongquan,zq
重拳	zhongquan,zq
重然灰	zhongranhui,zrh
重壤	zhongrang,zr
重人	zhongren,zr
重仞	chongren,cr
重任	zhongren,zr
重肉	zhongrou,zr
重褥	zhongru,zr
重蕤	zhongrui,zr
重塞	zhongsai,zs
重三	zhongsan,zs
重三迭四	chongsandiesi,csds
重三叠四	chongsandiesi,csds
重三译	zhongsanyi,zsy
重丧	zhongsang,zs
重色	zhongse,zs
重色轻友	zhongseqingyou,zsqy
重涩	zhongse,zs
重沙	zhongsha,zs
重山	chongshan,cs
重山复岭	chongshanfuling,csfl
重山复水	chongshanfushui,csfs
重山峻岭	chongshanjunling,csjl
重善	zhongshan,zs
重膳	zhongshan,zs
重伤	zhongshang,zs
重伤风	zhongshangfeng,zsf
重商主义	zhongshangzhuyi,zszy
重觞	chongshang,cs
重赏	zhongshang,zs
重赏之下	zhongshangzhixia,zszx
重舌	zhongshe,zs
重设	zhongshe,zs
重射	zhongshe,zs
重申	chongshen,cs
重身	chongshen,cs
重身子	zhongshenzi,zsz
重深	zhongshen,zs
重审	chongshen,cs
重慎	zhongshen,zs
重生	chongsheng,cs
重生父母	chongshengfumu,csfm
重生爷娘	chongshengyeniang,csyn
重甥	zhongsheng,zs
重施	zhongshi,zs
重施故伎	zhongshiguji,zsgj
重十	zhongshi,zs
重拾	chongshi,cs
重始	zhongshi,zs
重世	zhongshi,zs
重事	zhongshi,zs
重侍下	zhongshixia,zsx
重势	zhongshi,zs
重视	zhongshi,zs
重视教育	zhongshijiaoyu,zsjy
重试	chongshi,cs
重室子	zhongshizi,zsz
重适	chongshi,cs
重誓	zhongshi,zs
重手累足	chongshouleizu,cslz
重戍	zhongshu,zs
重述	chongshu,cs
重述地	chongshude,csd
重数	chongshu,cs
重水	zhongshui,zs
重水反应堆	zhongshuifanyingdui,zsfyd
重水生产	zhongshuishengchan,zssc
重税	zhongshui,zs
重说地	zhongshuode,zsd
重思	zhongsi,zs
重死	zhongsi,zs
重笥	zhongsi,zs
重颂	zhongsong,zs
重素	zhongsu,zs
重塑	chongsu,cs
重算	chongsuan,cs
重岁	zhongsui,zs
重邃	zhongsui,zs
重孙	chongsun,cs
重孙女	chongsunnu,csn
重孙子	chongsunzi,csz
重闼	zhongta,zt
重台	zhongtai,zt
重台屦	zhongtaiju,ztj
重台履	zhongtailu,ztl
重儓	zhongtai,zt
重碳酸钙	chongtansuangai,ctsg
重碳酸盐	chongtansuanyan,ctsy
重汤	zhongtang,zt
重堂	zhongtang,zt
重帑	zhongtang,zt
重提	chongti,ct
重提旧事	chongtijiushi,ctjs
重体	zhongti,zt
重天	zhongtian,zt
重条	zhongtiao,zt
重听	zhongting,zt
重同	zhongtong,zt
