缅甸	miandian,md
缅甸联邦	miandianlianbang,mdlb
缅甸语	miandianyu,mdy
缅隔	miange,mg
缅怀	mianhuai,mh
缅鉴	mianjian,mj
缅绝	mianjue,mj
缅迈	mianmai,mm
缅缅	mian,m
缅腼	mian,m
缅渺	mianmiao,mm
缅邈	mianmiao,mm
缅慕	mianmu,mm
缅匿法	miannifa,mnf
缅求	mianqiu,mq
缅然	mianran,mr
缅述	mianshu,ms
缅思	miansi,ms
缅诉	miansu,ms
缅惟	mianwei,mw
缅维	mianwei,mw
缅文	mianwen,mw
缅想	mianxiang,mx
缅忆	mianyi,my
缅因	mianyin,my
缅因州	mianyinzhou,myz
缅元	mianyuan,my
缅远	mianyuan,my
