赊迟	shechi,sc
赊促	shecu,sc
赊贷	shedai,sd
赊购	shegou,sg
赊荷	shehe,sh
赊缓	shehuan,sh
赊借	shejie,sj
赊老	shelao,sl
赊买	shemai,sm
赊卖	shemai,sm
赊弥	shemi,sm
赊僻	shepi,sp
赊钱	sheqian,sq
赊欠	sheqian,sq
赊请	sheqing,sq
赊券	shequan,sq
赊市	sheshi,ss
赊贳	sheshi,ss
赊死	shesi,ss
赊头	shetou,st
赊望	shewang,sw
赊销	shexiao,sx
赊刑	shexing,sx
赊遥	sheyao,sy
赊远	sheyuan,sy
赊愿	sheyuan,sy
赊帐	shezhang,sz
赊账	shezhang,sz
