丈八蛇矛	zhangbashemao,zbsm
丈尺	zhangchi,zc
丈二	zhanger,ze
丈二和尚	zhangerheshang,zehs
丈二金刚摸不着头脑	zhangerjingangmobuzhaotounao,zejgmbztn
丈夫	zhangfu,zf
丈夫儿	zhangfuer,zfe
丈夫国	zhangfuguo,zfg
丈夫汉	zhangfuhan,zfh
丈夫女	zhangfunu,zfn
丈夫子	zhangfuzi,zfz
丈量	zhangliang,zl
丈六	zhangliu,zl
丈六金身	zhangliujinshen,zljs
丈六仙	zhangliuxian,zlx
丈妈	zhangma,zm
丈母	zhangmu,zm
丈母娘	zhangmuniang,zmn
丈人	zhangren,zr
丈人峯	zhangrenfeng,zrf
丈人观	zhangrenguan,zrg
丈人山	zhangrenshan,zrs
丈人行	zhangrenxing,zrx
丈室	zhangshi,zs
丈数	zhangshu,zs
丈席	zhangxi,zx
丈行	zhangxing,zx
丈丈	zhang,z
