凹岸	aoan,aa
凹板	aoban,ab
凹版	aoban,ab
凹版画	aobanhua,abh
凹版印刷	aobanyinshua,abys
凹槽	aocao,ac
凹答	aoda,ad
凹雕	aodiao,ad
凹洞	aodong,ad
凹度	aodu,ad
凹痕	aohen,ah
凹弧饰	aohushi,ahs
凹进	aojin,aj
凹镜	aojing,aj
凹坑	aokeng,ak
凹抠眼	aokouyan,aky
凹面	aomian,am
凹面镜	aomianjing,amj
凹面钟	aomianzhong,amz
凹朴皮	aopopi,app
凹入	aoru,ar
凹上	aoshang,as
凹榻	aota,at
凹透镜	aotoujing,atj
凹凸	aotu,at
凹凸不平	aotubuping,atbp
凹凸花	aotuhua,ath
凹凸形	aotuxing,atx
凹凸性	aotuxing,atx
凹凸轧花	aotuyahua,atyh
凹凸印	aotuyin,aty
凹凸印刷	aotuyinshua,atys
凹凸有致	aotuyouzhi,atyz
凹洼	aowa,aw
凹纹	aowen,aw
凹崄	aoxian,ax
凹线	aoxian,ax
凹陷	aoxian,ax
凹心砚	aoxinyan,axy
凹造型	aozaoxing,azx
