卯不对榫	maobuduisun,mbds
卯簿	maobu,mb
卯册	maoce,mc
卯饭	maofan,mf
卯羹	maogeng,mg
卯金	maojin,mj
卯金刀	maojindao,mjd
卯酒	maojiu,mj
卯君	maojun,mj
卯困	maokun,mk
卯上	maoshang,ms
卯生	maosheng,ms
卯时	maoshi,ms
卯食	maoshi,ms
卯是卯	maoshi,ms
卯睡	maoshui,ms
卯榫	maosun,ms
卯兔	maotu,mt
卯眼	maoyan,my
卯饮	maoyin,my
卯酉	maoyou,my
卯云	maoyun,my
卯醉	maozui,mz
