砸巴	zaba,zb
砸蛋	zadan,zd
砸兑	zadui,zd
砸饭碗	zafanwan,zfw
砸锅	zaguo,zg
砸锅卖铁	zaguomaitie,zgmt
砸夯	zahang,zh
砸坏	zahuai,zh
砸毁	zahui,zh
砸姜磨蒜	zajiangmosuan,zjms
砸开	zakai,zk
砸烂	zalan,zl
砸明火	zaminghuo,zmh
砸牌子	zapaizi,zpz
砸破	zapo,zp
砸钱	zaqian,zq
砸杀	zasha,zs
砸死	zasi,zs
砸碎	zasui,zs
砸醒	zaxing,zx
砸嘴舔唇	zazuitianchun,zztc
