汾祠	fenci,fc
汾鼎	fending,fd
汾海	fenhai,fh
汾河	fenhe,fh
汾浍	fenhui,fh
汾晋	fenjin,fj
汾酒	fenjiu,fj
汾沮	fenju,fj
汾葵	fenkui,fk
汾潞	fenlu,fl
汾露	fenlu,fl
汾讴	fenou,fo
汾桥	fenqiao,fq
汾丘	fenqiu,fq
汾曲	fenqu,fq
汾射	fenshe,fs
汾神	fenshen,fs
汾脽	fenshui,fs
汾水游	fenshuiyou,fsy
汾亭	fenting,ft
汾王	fenwang,fw
汾西	fenxi,fx
汾西县	fenxixian,fxx
汾阳	fenyang,fy
汾阳宫	fenyanggong,fyg
汾阳考	fenyangkao,fyk
汾阳帽	fenyangmao,fym
汾阳市	fenyangshi,fys
汾阳王	fenyangwang,fyw
汾阴	fenyin,fy
汾阴鼎	fenyinding,fyd
汾阴脽	fenyinshui,fys
汾沄	fenyun,fy
