鲁昂	luang,la
鲁班	luban,lb
鲁班尺	lubanchi,lbc
鲁般	luban,lb
鲁般尺	lubanchi,lbc
鲁邦	lubang,lb
鲁棒	lubang,lb
鲁棒性	lubangxing,lbx
鲁薄	lubao,lb
鲁笨	luben,lb
鲁毕克方块	lubikefangkuai,lbkfk
鲁壁	lubi,lb
鲁宾	lubin,lb
鲁菜	lucai,lc
鲁册	luce,lc
鲁城	lucheng,lc
鲁达	luda,ld
鲁道	ludao,ld
鲁德维格	ludeweige,ldwg
鲁甸	ludian,ld
鲁甸县	ludianxian,ldx
鲁殿	ludian,ld
鲁殿灵光	ludianlingguang,ldlg
鲁敦周彝	ludunzhouyi,ldzy
鲁钝	ludun,ld
鲁钝地	ludunde,ldd
鲁顿	ludun,ld
鲁尔河	luerhe,leh
鲁尔区	luerqu,leq
鲁二生	luersheng,les
鲁风鞋	lufengxie,lfx
鲁风鞵	lufengxie,lfx
鲁夫	lufu,lf
鲁佛尔宫	lufuergong,lfeg
鲁戆	lugang,lg
鲁缟	lugao,lg
鲁戈	luge,lg
鲁戈挥日	lugehuiri,lghr
鲁戈回日	lugehuiri,lghr
鲁姑弃子	luguqizi,lgqz
鲁馆	luguan,lg
鲁国	luguo,lg
鲁国人	luguoren,lgr
鲁夯	luhang,lh
鲁壶	luhu,lh
鲁鸡	luji,lj
鲁籍	luji,lj
鲁洁妇	lujiefu,ljf
鲁斤燕削	lujinyanxue,ljyx
鲁经	lujing,lj
鲁酒	lujiu,lj
鲁酒薄而邯郸围	lujiubaoerhandanwei,ljbehdw
鲁君	lujun,lj
鲁凯族	lukaizu,lkz
鲁连	lulian,ll
鲁连辞赏	luliancishang,llcs
鲁连蹈海	luliandaohai,lldh
鲁连箭	lulianjian,llj
鲁连矢	lulianshi,lls
鲁连书	lulianshu,lls
鲁连台	luliantai,llt
鲁连子	lulianzi,llz
鲁两生	luliangsheng,lls
鲁麟	lulin,ll
鲁灵光	lulingguang,llg
鲁灵光殿	lulingguangdian,llgd
鲁鲁冒冒	lumao,lm
鲁论	lulun,ll
鲁莽	lumang,lm
鲁莽地	lumangde,lmd
鲁莽灭裂	lumangmielie,lmml
鲁米诺	luminuo,lmn
鲁男	lunan,ln
鲁男子	lunanzi,lnz
鲁难未已	lunanweiyi,lnwy
鲁讷	lune,ln
鲁瓢	lupiao,lp
鲁朴	lupiao,lp
鲁禽	luqin,lq
鲁人	luren,lr
鲁人回日	lurenhuiri,lrhr
鲁日	luri,lr
鲁儒	luru,lr
鲁弱	luruo,lr
鲁桑	lusang,ls
鲁山	lushan,ls
鲁山县	lushanxian,lsx
鲁蛇	lushe,ls
鲁圣	lusheng,ls
鲁诗	lushi,ls
鲁史	lushi,ls
鲁室	lushi,ls
鲁飔	lusi,ls
鲁颂	lusong,ls
鲁叟	lusou,ls
鲁肃	lusu,ls
鲁堂	lutang,lt
鲁特啤酒	lutepijiu,ltpj
鲁特琴	luteqin,ltq
鲁卫	luwei,lw
鲁卫之政	luweizhizheng,lwzz
鲁文在手	luwenzaishou,lwzs
鲁汶	luwen,lw
鲁削	luxue,lx
鲁学	luxue,lx
鲁迅	luxun,lx
鲁迅墓	luxunmu,lxm
鲁彦周	luyanzhou,lyz
鲁砚	luyan,ly
鲁阳	luyang,ly
鲁阳戈	luyangge,lyg
鲁阳挥戈	luyanghuige,lyhg
鲁阳挥日	luyanghuiri,lyhr
鲁阳麾戈	luyanghuige,lyhg
鲁阳回日	luyanghuiri,lyhr
鲁阳指日	luyangzhiri,lyzr
鲁阳子	luyangzi,lyz
鲁义姑	luyigu,lyg
鲁鱼	luyu,ly
鲁鱼帝虎	luyudihu,lydh
鲁鱼亥豕	luyuhaishi,lyhs
鲁鱼陶阴	luyutaoyin,lyty
鲁语	luyu,ly
鲁哲	luzhe,lz
鲁卮	luzhi,lz
鲁巵	luzhi,lz
鲁直	luzhi,lz
鲁质	luzhi,lz
鲁雉	luzhi,lz
鲁中叟	luzhongsou,lzs
鲁拙	luzhuo,lz
鲁斫	luzhuo,lz
鲁子敬	luzijing,lzj
