织白守黑	zhibaishouhei,zbsh
织贝	zhibei,zb
织帛	zhibo,zb
织补	zhibu,zb
织布	zhibu,zb
织布机	zhibuji,zbj
织成	zhicheng,zc
织楚成门	zhichuchengmen,zccm
织当访婢	zhidangfangbi,zdfb
织发夫人	zhifafuren,zffr
织坊	zhifang,zf
织妇	zhifu,zf
织花	zhihua,zh
织画	zhihua,zh
织机	zhiji,zj
织绩	zhiji,zj
织缣	zhijian,zj
织金	zhijin,zj
织金锦	zhijin,zj
织金县	zhijinxian,zjx
织锦	zhijin,zj
织锦缎	zhijinduan,zjd
织锦户	zhijinhu,zjh
织锦回文	zhijinhuiwen,zjhw
织屦	zhiju,zj
织绢娘	zhijuanniang,zjn
织帘居士	zhilianjushi,zljs
织路	zhilu,zl
织缕	zhilu,zl
织罗	zhiluo,zl
织络	zhiluo,zl
织绵缎	zhimianduan,zmd
织女	zhinu,zn
织女河	zhinuhe,znh
织女津	zhinujin,znj
织女星	zhinuxing,znx
织皮	zhipi,zp
织品	zhipin,zp
织蒲	zhipu,zp
织染	zhiran,zr
织纴	zhiren,zr
织絍	zhiren,zr
织室	zhishi,zs
织素	zhisu,zs
织田信长	zhitianxinchang,ztxc
织文	zhiwen,zw
织乌	zhiwu,zw
织物	zhiwu,zw
织造	zhizao,zz
织造衙门	zhizaoyamen,zzym
织综	zhizong,zz
织组	zhizu,zz
织作	zhizuo,zz
