螳臂	tangbi,tb
螳臂当车	tangbidangche,tbdc
螳臂当辙	tangbidangzhe,tbdz
螳臂挡车	tangbidangche,tbdc
螳臂扼辙	tangbiezhe,tbez
螳斧	tangfu,tf
螳拒	tangju,tj
螳蜋	tanglang,tl
螳蜋奋臂	tanglangfenbi,tlfb
螳蜋之卫	tanglangzhiwei,tlzw
螳螂	tanglang,tl
螳螂捕蝉	tanglangbuchan,tlbc
螳螂奋臂	tanglangfenbi,tlfb
螳螂黄雀	tanglanghuangque,tlhq
螳螂拒辙	tanglangjuzhe,tljz
螳螂之卫	tanglangzhiwei,tlzw
螳螂子	tanglangzi,tlz
螳轮	tanglun,tl
螳蠰	tangnang,tn
螳怒	tangnu,tn
