救安	jiuan,ja
救拔	jiuba,jb
救败	jiubai,jb
救敝	jiubi,jb
救弊	jiubi,jb
救兵	jiubing,jb
救病	jiubing,jb
救场	jiuchang,jc
救场如救火	jiuchangruhuo,jcrh
救出	jiuchu,jc
救存	jiucun,jc
救搭	jiuda,jd
救答	jiuda,jd
救敌	jiudi,jd
救颠	jiudian,jd
救斗	jiudou,jd
救度	jiudu,jd
救夺	jiuduo,jd
救恩	jiuen,je
救恩计划	jiuenjihua,jejh
救乏	jiufa,jf
救焚	jiufen,jf
救焚投薪	jiufentouxin,jftx
救焚益薪	jiufenyixin,jfyx
救焚拯溺	jiufenzhengni,jfzn
救抚	jiufu,jf
救鸽	jiuge,jg
救给	jiugei,jg
救公饥	jiugongji,jgj
救国	jiuguo,jg
救过	jiuguo,jg
救过补阙	jiuguobuque,jgbq
救过不给	jiuguobugei,jgbg
救过不赡	jiuguobushan,jgbs
救过不暇	jiuguobuxia,jgbx
救寒莫如重裘	jiuhanmoruchongqiu,jhmrcq
救护	jiuhu,jh
救护车	jiuhuche,jhc
救护船	jiuhuchuan,jhc
救护人员	jiuhurenyuan,jhry
救护员	jiuhuyuan,jhy
救护站	jiuhuzhan,jhz
救患	jiuhuan,jh
救荒	jiuhuang,jh
救活	jiuhuo,jh
救火	jiuhuo,jh
救火车	jiuhuoche,jhc
救火会	jiuhuohui,jhh
救火救灭	jiuhuomie,jhm
救火投薪	jiuhuotouxin,jhtx
救火扬沸	jiuhuoyangfei,jhyf
救火拯溺	jiuhuozhengni,jhzn
救祸	jiuhuo,jh
救饥	jiuji,jj
救饥拯溺	jiujizhengni,jjzn
救急	jiuji,jj
救急不救穷	jiujibuqiong,jjbq
救急扶伤	jiujifushang,jjfs
救疾	jiuji,jj
救济	jiuji,jj
救济金	jiujijin,jjj
救济粮	jiujiliang,jjl
救驾	jiujia,jj
救接	jiujie,jj
救解	jiujie,jj
救经	jiujing,jj
救经引足	jiujingyinzu,jjyz
救苦	jiuku,jk
救苦救难	jiukunan,jkn
救苦弭灾	jiukumizai,jkmz
救苦斋	jiukuzhai,jkz
救困扶危	jiukunfuwei,jkfw
救捞局	jiulaoju,jlj
救疗	jiuliao,jl
救燎助薪	jiuliaozhuxin,jlzx
救灭	jiumie,jm
救民水火	jiuminshuihuo,jmsh
救民于水火	jiuminyushuihuo,jmysh
救命	jiuming,jm
救命稻草	jiumingdaocao,jmdc
救命星	jiumingxing,jmx
救难	jiunan,jn
救难船	jiunanchuan,jnc
救难解危	jiunanjiewei,jnjw
救溺	jiuni,jn
救偏补弊	jiupianbubi,jpbb
救扑	jiupu,jp
救倾	jiuqing,jq
救黥医劓	jiuqingyi,jqy
救穷	jiuqiong,jq
救取	jiuqu,jq
救全	jiuquan,jq
救人救彻	jiurenche,jrc
救人一命	jiurenyiming,jrym
救人一命胜造七级浮屠	jiurenyimingshengzaoqijifutu,jrymszqjft
救日	jiuri,jr
救伤	jiushang,js
救奢	jiushe,js
救生	jiusheng,js
救生船	jiushengchuan,jsc
救生堤	jiushengdi,jsd
救生队	jiushengdui,jsd
救生筏	jiushengfa,jsf
救生局	jiushengju,jsj
救生圈	jiushengquan,jsq
救生艇	jiushengting,jst
救生艇甲板	jiushengtingjiaban,jstjb
救生衣	jiushengyi,jsy
救生员	jiushengyuan,jsy
救失	jiushi,js
救施	jiushi,js
救时	jiushi,js
救时厉俗	jiushilisu,jsls
救世	jiushi,js
救世济民	jiushijimin,jsjm
救世军	jiushijun,jsj
救世主	jiushizhu,jsz
救市	jiushi,js
救释	jiushi,js
救守	jiushou,js
救赎	jiushu,js
救赎主	jiushuzhu,jsz
救数人	jiushuren,jsr
救水	jiushui,js
救死	jiusi,js
救死扶伤	jiusifushang,jsfs
救死扶危	jiusifuwei,jsfw
救提	jiuti,jt
救挽	jiuwan,jw
救亡	jiuwang,jw
救亡图存	jiuwangtucun,jwtc
救息	jiuxi,jx
救熄	jiuxi,jx
救险	jiuxian,jx
救饷	jiuxiang,jx
救星	jiuxing,jx
救恤	jiuxu,jx
救药	jiuyao,jy
救暍	jiuye,jy
救应	jiuying,jy
救御	jiuyu,jy
救援	jiuyuan,jy
救援队	jiuyuandui,jyd
救月	jiuyue,jy
救灾	jiuzai,jz
救灾救济司	jiuzaijisi,jzjs
救灾款	jiuzaikuan,jzk
救灾恤患	jiuzaixuhuan,jzxh
救菑	jiuzi,jz
救拯	jiuzheng,jz
救正	jiuzheng,jz
救止	jiuzhi,jz
救治	jiuzhi,jz
救主	jiuzhu,jz
救助	jiuzhu,jz
救转	jiuzhuan,jz
救族	jiuzu,jz
