述词地	shucide,scd
述荡	shudang,sd
述而不作	shuerbuzuo,sebz
述附	shufu,sf
述怀	shuhuai,sh
述旧	shujiu,sj
述録	shulu,sl
述律	shulu,sl
述命	shuming,sm
述评	shuping,sp
述容	shurong,sr
述圣	shusheng,ss
述事	shushi,ss
述说	shushuo,ss
述修	shuxiu,sx
述脩	shuxiu,sx
述序	shuxu,sx
述叙	shuxu,sx
述宣	shuxuan,sx
述演	shuyan,sy
述咏	shuyong,sy
述语	shuyu,sy
述载	shuzai,sz
述赞	shuzan,sz
述造	shuzao,sz
述职	shuzhi,sz
述制	shuzhi,sz
述撰	shuzhuan,sz
述譔	shuzhuan,sz
述奏	shuzou,sz
述祖	shuzu,sz
述遵	shuzun,sz
述作	shuzuo,sz
