锻锤	duanchui,dc
锻淬	duancui,dc
锻打	duanda,dd
锻坊	duanfang,df
锻工	duangong,dg
锻焊	duanhan,dh
锻件	duanjian,dj
锻接	duanjie,dj
锻砺	duanli,dl
锻练	duanlian,dl
锻炼	duanlian,dl
锻湅	duanlian,dl
锻柳	duanliu,dl
锻炉	duanlu,dl
锻模	duanmu,dm
锻磨	duanmo,dm
锻脯	duanfu,df
锻钳	duanqian,dq
锻矢	duanshi,ds
锻铁	duantie,dt
锻锡	duanxi,dx
锻修	duanxiu,dx
锻压	duanya,dy
锻灶	duanzao,dz
锻造	duanzao,dz
锻沼	duanzhao,dz
锻制	duanzhi,dz
锻铸	duanzhu,dz
锻罪	duanzui,dz
