絮袄	xuao,xa
絮帛	xubo,xb
絮叨	xudao,xd
絮叨叨	xudao,xd
絮烦	xufan,xf
絮繁	xufan,xf
絮羹	xugeng,xg
絮刮	xugua,xg
絮聒	xuguo,xg
絮果兰因	xuguolanyin,xgly
絮咶	xuhuai,xh
絮巾	xujin,xj
絮酒	xujiu,xj
絮酒炙鸡	xujiuzhiji,xjzj
絮旧	xujiu,xj
絮缕	xulu,xl
絮棉	xumian,xm
絮暖	xunuan,xn
絮片	xupian,xp
絮气	xuqi,xq
絮泣	xuqi,xq
絮球	xuqiu,xq
絮说	xushuo,xs
絮谈	xutan,xt
絮絮	xu,x
絮絮答答	xuda,xd
絮絮叨叨	xudao,xd
絮絮聒聒	xuguo,xg
絮衣	xuyi,xy
絮语	xuyu,xy
絮缯	xuzeng,xz
絮状物	xuzhuangwu,xzw
絮嘴	xuzui,xz
