髡笞	kunchi,kc
髡釱	kundi,kd
髡顿	kundun,kd
髡发	kunfa,kf
髡放	kunfang,kf
髡夫	kunfu,kf
髡褐	kunhe,kh
髡接	kunjie,kj
髡截	kunjie,kj
髡流	kunliu,kl
髡颅	kunlu,kl
髡裸	kunluo,kl
髡躶	kunluo,kl
髡毛	kunmao,km
髡髦	kunmao,km
髡耏	kuner,ke
髡奴	kunnu,kn
髡牝	kunpin,kp
髡鬝	kunqian,kq
髡钳	kunqian,kq
髡囚	kunqiu,kq
髡人	kunren,kr
髡僧	kunseng,ks
髡首	kunshou,ks
髡树	kunshu,ks
髡剔	kunti,kt
髡薙	kunti,kt
髡头	kuntou,kt
髡徒	kuntu,kt
髡屯	kuntun,kt
髡翁	kunweng,kw
髡跣	kunxian,kx
髡刑	kunxing,kx
髡削	kunxue,kx
髡刖	kunyue,ky
髡簪	kunzan,kz
髡祝	kunzhu,kz
髡缁	kunzi,kz
