墟场	xuchang,xc
墟坟	xufen,xf
墟棘	xuji,xj
墟集	xuji,xj
墟塉	xuji,xj
墟井	xujing,xj
墟拘	xuju,xj
墟聚	xuju,xj
墟垒	xulei,xl
墟里	xuli,xl
墟落	xuluo,xl
墟莽	xumang,xm
墟墓	xumu,xm
墟期	xuqi,xq
墟曲	xuqu,xq
墟日	xuri,xr
墟市	xushi,xs
墟墅	xushu,xs
墟天	xutian,xt
墟土	xutu,xt
墟巷	xuxiang,xx
墟烟	xuyan,xy
墟野	xuye,xy
墟囿	xuyou,xy
墟域	xuyu,xy
墟榛	xuzhen,xz
墟镇	xuzhen,xz
