懿濞	yibi,yb
懿纯	yichun,yc
懿德	yide,yd
懿度	yidu,yd
懿范	yifan,yf
懿恭	yigong,yg
懿共	yigong,yg
懿贵	yigui,yg
懿和	yihe,yh
懿徽	yihui,yh
懿绩	yiji,yj
懿筐	yikuang,yk
懿茂	yimao,ym
懿美	yimei,ym
懿媺	yimei,ym
懿戚	yiqi,yq
懿亲	yiqin,yq
懿柔	yirou,yr
懿邵	yishao,ys
懿识	yishi,ys
懿士	yishi,ys
懿淑	yishu,ys
懿烁	yishuo,ys
懿铄	yishuo,ys
懿望	yiwang,yw
懿伟	yiwei,yw
懿文	yiwen,yw
懿行	yixing,yx
懿义	yi,y
懿懿	yi,y
懿哲	yizhe,yz
懿旨	yizhi,yz
懿躅	yizhu,yz
