仗策	zhangce,zc
仗胆	zhangdan,zd
仗队	zhangdui,zd
仗斧	zhangfu,zf
仗火	zhanghuo,zh
仗家	zhangjia,zj
仗剑	zhangjian,zj
仗节	zhangjie,zj
仗节死义	zhangjiesiyi,zjsy
仗赖	zhanglai,zl
仗马	zhangma,zm
仗马寒蝉	zhangmahanchan,zmhc
仗气	zhangqi,zq
仗气使酒	zhangqishijiu,zqsj
仗舍	zhangshe,zs
仗身	zhangshen,zs
仗士	zhangshi,zs
仗势	zhangshi,zs
仗势欺人	zhangshiqiren,zsqr
仗恃	zhangshi,zs
仗顺	zhangshun,zs
仗托	zhangtuo,zt
仗卫	zhangwei,zw
仗衞	zhangwei,zw
仗锡	zhangxi,zx
仗下	zhangxia,zx
仗腰	zhangyao,zy
仗义	zhangyi,zy
仗义疎财	zhangyishucai,zysc
仗义疏财	zhangyishucai,zysc
仗义执言	zhangyizhiyan,zyzy
仗钺	zhangyue,zy
仗正	zhangzheng,zz
