觉岸	juean,ja
觉察	juecha,jc
觉场	juechang,jc
觉道	juedao,jd
觉得	juede,jd
觉地	juedi,jd
觉帝	juedi,jd
觉非	juefei,jf
觉关	jueguan,jg
觉海	juehai,jh
觉晧	juehao,jh
觉乎	juehu,jh
觉化	juehua,jh
觉皇	juehuang,jh
觉剑	juejian,jj
觉路	juelu,jl
觉露	juelu,jl
觉轮	juelun,jl
觉罗	jueluo,jl
觉罗学	jueluoxue,jlx
觉寝	jueqin,jq
觉人觉世	juerenshi,jrs
觉识	jueshi,js
觉树	jueshu,js
觉王	juewang,jw
觉卧	juewo,jw
觉悟	juewu,jw
觉寤	juewu,jw
觉心	juexin,jx
觉星	juexing,jx
觉醒	juexing,jx
觉性	juexing,jx
觉元	jueyuan,jy
觉苑	jueyuan,jy
觉知	juezhi,jz
