聪辩	congbian,cb
聪察	congcha,cc
聪达	congda,cd
聪耳	conger,ce
聪惠	conghui,ch
聪慧	conghui,ch
聪记	congji,cj
聪加人	congjiaren,cjr
聪鉴	congjian,cj
聪解	congjie,cj
聪警	congjing,cj
聪隽	congjun,cj
聪俊	congjun,cj
聪刻	congke,ck
聪朗	conglang,cl
聪了	congle,cl
聪利	congli,cl
聪亮	congliang,cl
聪令	congling,cl
聪敏	congmin,cm
聪敏地	congminde,cmd
聪慜	congmin,cm
聪明	congming,cm
聪明才智	congmingcaizhi,cmcz
聪明地	congmingde,cmd
聪明儿	congminger,cme
聪明反被聪明误	congmingfanbeiwu,cmfbw
聪明过头	congmingguotou,cmgt
聪明绝顶	congmingjueding,cmjd
聪明绝世	congmingjueshi,cmjs
聪明伶俐	congminglingli,cmll
聪明鸟	congmingniao,cmn
聪明睿知	congmingruizhi,cmrz
聪明睿智	congmingruizhi,cmrz
聪明叡知	congmingruizhi,cmrz
聪明丸	congmingwan,cmw
聪明误	congmingwu,cmw
聪明一世	congmingyishi,cmys
聪明正直	congmingzhengzhi,cmzz
聪明智慧	congmingzhihui,cmzh
聪明智能	congmingzhineng,cmzn
聪明自误	congmingziwu,cmzw
聪谋	congmou,cm
聪睿	congrui,cr
聪叡	congrui,cr
聪识	congshi,cs
聪听	congting,ct
聪悟	congwu,cw
聪黠	congxia,cx
聪虚	congxu,cx
聪颖	congying,cy
聪哲	congzhe,cz
聪智	congzhi,cz
