旨奥	zhiao,za
旨畅	zhichang,zc
旨淡	zhidan,zd
旨符	zhifu,zf
旨甘	zhigan,zg
旨告	zhigao,zg
旨挥	zhihui,zh
旨麾	zhihui,zh
旨嘉	zhijia,zj
旨酒	zhijiu,zj
旨令	zhiling,zl
旨譬	zhipi,zp
旨遣	zhiqian,zq
旨趣	zhiqu,zq
旨示	zhishi,zs
旨态	zhitai,zt
旨通	zhitong,zt
旨统	zhitong,zt
旨味	zhiwei,zw
旨问	zhiwen,zw
旨信	zhixin,zx
旨蓄	zhixu,zx
旨肴	zhiyao,zy
旨要	zhiyao,zy
旨义	zhiyi,zy
旨诣	zhiyi,zy
旨意	zhiyi,zy
旨喻	zhiyu,zy
旨远	zhiyuan,zy
旨在	zhizai,zz
