誊抄	tengchao,tc
誊发	tengfa,tf
誊画	tenghua,th
誊黄	tenghuang,th
誊录	tenglu,tl
誊録	tenglu,tl
誊録官	tengluguan,tlg
誊録生	tenglusheng,tls
誊録书手	tenglushushou,tlss
誊録所	tenglusuo,tls
誊録院	tengluyuan,tly
誊清	tengqing,tq
誊缮	tengshan,ts
誊拓	tengtuo,tt
誊搨	tengta,tt
誊写	tengxie,tx
誊写版	tengxieban,txb
誊写钢版	tengxiegangban,txgb
誊写器	tengxieqi,txq
誊写印刷	tengxieyinshua,txys
誊造	tengzao,tz
誊真	tengzhen,tz
誊正	tengzheng,tz
