钿波	tianbo,tb
钿钗	tianchai,tc
钿蝉	tianchan,tc
钿车	dianche,dc
钿尺	dianchi,dc
钿翠	diancui,dc
钿黛	tiandai,td
钿朵	tianduo,td
钿函	dianhan,dh
钿合	dianhe,dh
钿合金钗	dianhejinchai,dhjc
钿盒	dianhe,dh
钿花	dianhua,dh
钿徽	dianhui,dh
钿金	dianjin,dj
钿窠	dianke,dk
钿筐	diankuang,dk
钿笼	dianlong,dl
钿螺	dianluo,dl
钿蠃	dianluo,dl
钿鸟	dianniao,dn
钿砌	dianqi,dq
钿秋	dianqiu,dq
钿雀	dianque,dq
钿扇	dianshan,ds
钿粟	diansu,ds
钿头	tiantou,tt
钿涂	diantu,dt
钿窝	tianwo,tw
钿匣	dianxia,dx
钿璎	tianying,ty
钿针	dianzhen,dz
钿轴	dianzhou,dz
