歼毙	jianbi,jb
歼剥	jianbao,jb
歼残	jiancan,jc
歼除	jianchu,jc
歼荡	jiandang,jd
歼敌	jiandi,jd
歼夺	jianduo,jd
歼覆	jianfu,jf
歼击	jianji,jj
歼击机	jianji,jj
歼殛	jianji,jj
歼良	jianliang,jl
歼戮	jianlu,jl
歼灭	jianmie,jm
歼灭战	jianmiezhan,jmz
歼扑	jianpu,jp
歼伤	jianshang,js
歼殄	jiantian,jt
歼亡	jianwang,jw
歼一警百	jianyijingbai,jyjb
歼夷	jianyi,jy
歼殒	jianyun,jy
