鹓班	yuanban,yb
鹓班鹭序	yuanbanluxu,yblx
鹓步	yuanbu,yb
鹓彩	yuancai,yc
鹓池	yuanchi,yc
鹓墀	yuanchi,yc
鹓雏	yuanchu,yc
鹓鶵	yuanchu,yc
鹓毳	yuancui,yc
鹓邸	yuandi,yd
鹓动鸾飞	yuandongluanfei,ydlf
鹓凤	yuanfeng,yf
鹓扶	yuanfu,yf
鹓鸽	yuange,yg
鹓阁	yuange,yg
鹓鹄	yuanhu,yh
鹓鸿	yuanhong,yh
鹓禁	yuanjin,yj
鹓胪	yuanlu,yl
鹓鹭	yuanlu,yl
鹓侣	yuanlu,yl
鹓鸾	yuanluan,yl
鹓轮	yuanlun,yl
鹓鹏	yuanpeng,yp
鹓绮	yuanqi,yq
鹓实	yuanshi,ys
鹓纹	yuanwen,yw
鹓行	yuanxing,yx
鹓序	yuanxu,yx
鹓舆	yuanyu,yy
鹓羽	yuanyu,yy
鹓鸑	yuanyue,yy
鹓沼	yuanzhao,yz
鹓甃	yuanzhou,yz
