禹哀	yuai,ya
禹碑	yubei,yb
禹步	yubu,yb
禹城	yucheng,yc
禹城市	yuchengshi,ycs
禹甸	yudian,yd
禹鼎	yuding,yd
禹渎	yudu,yd
禹服	yufu,yf
禹功	yugong,yg
禹会	yuhui,yh
禹会区	yuhuiqu,yhq
禹迹	yuji,yj
禹绩	yuji,yj
禹稷	yuji,yj
禹葭	yujia,yj
禹韭	yujiu,yj
禹门	yumen,ym
禹谟	yumo,ym
禹启	yuqi,yq
禹契	yuqi,yq
禹膳	yushan,ys
禹书	yushu,ys
禹孙	yusun,ys
禹汤	yutang,yt
禹跳	yutiao,yt
禹王台	yuwangtai,ywt
禹王台区	yuwangtaiqu,ywtq
禹惜寸阴	yuxicunyin,yxcy
禹刑	yuxing,yx
禹行舜趋	yuxingshunqu,yxsq
禹穴	yuxue,yx
禹余粮	yuliang,yl
禹域	yu,y
禹帐里	yuzhangli,yzl
禹政	yuzheng,yz
禹州	yuzhou,yz
禹州市	yuzhoushi,yzs
