峨边县	ebianxian,ebx
峨边彝族自治县	ebianyizuzizhixian,ebyzzzx
峨弁	ebian,eb
峨峨	e,e
峨峨汤汤	eshang,es
峨峨洋洋	eyang,ey
峨舸	ege,eg
峨冠	eguan,eg
峨冠博带	eguanbodai,egbd
峨鬟	ehuan,eh
峨髻	eji,ej
峨眉	emei,em
峨眉宝光	emeibaoguang,embg
峨眉柳莺	emeiliuying,emly
峨眉山	emeishan,ems
峨眉山市	emeishanshi,emss
峨眉乡	emeixiang,emx
峨嵋	emei,em
峨嵋拳	emeiquan,emq
峨嵋山	emeishan,ems
峨嵋山市	emeishanshi,emss
峨嵋鹟莺	emeiwengying,emwy
峨冕	emian,em
峨岷	emin,em
峨阙	eque,eq
峨然	eran,er
峨山县	eshanxian,esx
峨山彝族自治县	eshanyizuzizhixian,esyzzzx
峨巍	ewei,ew
峨嶪	eye,ey
