斤斗	jindou,jd
斤斗云	jindouyun,jdy
斤风	jinfeng,jf
斤斧	jinfu,jf
斤迹	jinji,jj
斤节	jinjie,jj
斤斤	jin,j
斤斤计较	jinjijiao,jjj
斤斤较量	jinjiaoliang,jjl
斤斤自守	jinzishou,jzs
斤两	jinliang,jl
斤量	jinliang,jl
斤脉	jinmai,jm
斤墨	jinmo,jm
斤然	jinran,jr
斤石	jinshi,js
斤械	jinxie,jx
斤削	jinxue,jx
斤凿	jinzao,jz
斤正	jinzheng,jz
斤重	jinzhong,jz
斤欘	jinzhu,jz
