竿叉	gancha,gc
竿城	gancheng,gc
竿椟	gandu,gd
竿牍	gandu,gd
竿儿	ganer,ge
竿旌	ganjing,gj
竿累	ganlei,gl
竿纶	ganlun,gl
竿旄	ganmao,gm
竿杪	ganmiao,gm
竿摩	ganmo,gm
竿木	ganmu,gm
竿木逢场	ganmufengchang,gmfc
竿首	ganshou,gs
竿殳	ganshu,gs
竿头	gantou,gt
竿头步	gantoubu,gtb
竿头日进	gantourijin,gtrj
竿头日上	gantourishang,gtrs
竿头一步	gantouyibu,gtyb
竿头直上	gantouzhishang,gtzs
竿网	ganwang,gw
竿栧	ganyi,gy
竿影	ganying,gy
竿旟	ganyu,gy
竿蔗	ganzhe,gz
竿子	ganzi,gz
