鲠避	gengbi,gb
鲠怅	gengchang,gc
鲠辞	gengci,gc
鲠谔	genge,ge
鲠愤	gengfen,gf
鲠辅	gengfu,gf
鲠鲠	geng,g
鲠骨	genggu,gg
鲠固	genggu,gg
鲠喉	genghou,gh
鲠急	gengji,gj
鲠讦	gengjie,gj
鲠介	gengjie,gj
鲠恋	genglian,gl
鲠亮	gengliang,gl
鲠谅	gengliang,gl
鲠烈	genglie,gl
鲠裂	genglie,gl
鲠论	genglun,gl
鲠朴	gengpiao,gp
鲠气	gengqi,gq
鲠峭	gengqiao,gq
鲠切	gengqie,gq
鲠塞	gengsai,gs
鲠涩	gengse,gs
鲠泗	gengsi,gs
鲠涕	gengti,gt
鲠慰	gengwei,gw
鲠欷	gengxi,gx
鲠言	gengyan,gy
鲠咽	gengyan,gy
鲠噎	gengye,gy
鲠议	gengyi,gy
鲠毅	gengyi,gy
鲠正	gengzheng,gz
鲠直	gengzhi,gz
