剩菜	shengcai,sc
剩菜残羹	shengcaicangeng,sccg
剩磁	shengci,sc
剩到	shengdao,sd
剩道	shengdao,sd
剩饭	shengfan,sf
剩粉	shengfen,sf
剩馥	shengfu,sf
剩馥残膏	shengfucangao,sfcg
剩客	shengke,sk
剩肯	shengken,sk
剩墨	shengmo,sm
剩女	shengnu,sn
剩钱	shengqian,sq
剩求	shengqiu,sq
剩山残水	shengshancanshui,sscs
剩水残山	shengshuicanshan,sscs
剩索	shengsuo,ss
剩汤腊水	shengtanglashui,stls
剩味	shengwei,sw
剩下	shengxia,sx
剩下地	shengxiade,sxd
剩遗	shengyi,sy
剩义	shengyi,sy
剩有	shengyou,sy
剩余	shengyu,sy
剩余产品	shengyuchanpin,sycp
剩余定理	shengyudingli,sydl
剩余放射性	shengyufangshexing,syfsx
剩余辐射	shengyufushe,syfs
剩余价值	shengyujiazhi,syjz
剩余价值规律	shengyujiazhiguilu,syjzgl
剩余劳动	shengyulaodong,syld
剩语	shengyu,sy
剩欲	shengyu,sy
剩员	shengyuan,sy
剩醉	shengzui,sz
