讦愎	jiebi,jb
讦参	jiecan,jc
讦斥	jiechi,jc
讦辞	jieci,jc
讦诞	jiedan,jd
讦夺	jieduo,jd
讦发	jiefa,jf
讦犯	jiefan,jf
讦告	jiegao,jg
讦害	jiehai,jh
讦激	jieji,jj
讦奸	jiejian,jj
讦谏	jiejian,jj
讦讦	jie,j
讦决	jiejue,jj
讦控	jiekong,jk
讦露	jielu,jl
讦难	jienan,jn
讦逆	jieni,jn
讦迫	jiepo,jp
讦切	jieqie,jq
讦窃	jieqie,jq
讦讪	jieshan,js
讦施	jieshi,js
讦首	jieshou,js
讦讼	jiesong,js
讦诉	jiesu,js
讦谈	jietan,jt
讦问	jiewen,jw
讦忤	jiewu,jw
讦牾	jiewu,jw
讦细	jiexi,jx
讦言	jieyan,jy
讦扬	jieyang,jy
讦直	jiezhi,jz
讦制	jiezhi,jz
讦奏	jiezou,jz
