人百其身	renbaiqishen,rbqs
人伴	renban,rb
人胞	renbao,rb
人保	renbao,rb
人本院	renbenyuan,rby
人表	renbiao,rb
人兵	renbing,rb
人柄	renbing,rb
人不犯我	renbufanwo,rbfw
人不可貌相	renbukemaoxiang,rbkmx
人不可以貌相	renbukeyimaoxiang,rbkymx
人不聊生	renbuliaosheng,rbls
人不为己	renbuweiji,rbwj
人不知	renbuzhi,rbz
人不知鬼不觉	renbuzhiguijue,rbzgj
人不自安	renbuzian,rbza
人才	rencai,rc
人才辈出	rencaibeichu,rcbc
人才出众	rencaichuzhong,rccz
人才济济	rencaiji,rcj
人才库	rencaiku,rck
人才流失	rencailiushi,rcls
人才难得	rencainande,rcnd
人才内阁	rencaineige,rcng
人才市场	rencaishichang,rcsc
人才外流	rencaiwailiu,rcwl
人材	rencai,rc
人材出众	rencaichuzhong,rccz
人财两空	rencailiangkong,rclk
人财两失	rencailiangshi,rcls
人参	renshen,rs
人参果	renshenguo,rsg
人曹	rencao,rc
人曹郎	rencaolang,rcl
人潮	renchao,rc
人车混行	renchehunxing,rchx
人臣	renchen,rc
人陈	renchen,rc
人称	rencheng,rc
人称代词	renchengdaici,rcdc
人稠物穰	renchouwurang,rcwr
人畜共患症	renchugonghuanzheng,rcghz
人传人	renchuan,rc
人次	renci,rc
人从	rencong,rc
人从众𠈌	rencongzhongyu,rczy
人丛	rencong,rc
人存政举	rencunzhengju,rczj
人大	renda,rd
人大会堂	rendahuitang,rdht
人代	rendai,rd
人丹	rendan,rd
人单势孤	rendanshigu,rdsg
人道	rendao,rd
人道救援	rendaojiuyuan,rdjy
人道主义	rendaozhuyi,rdzy
人德	rende,rd
人地	rendi,rd
人地生疏	rendishengshu,rdss
人灯	rendeng,rd
人等	rendeng,rd
人丁	rending,rd
人丁兴旺	rendingxingwang,rdxw
人定	rending,rd
人定胜天	rendingshengtian,rdst
人都	rendou,rd
人堆	rendui,rd
人多口杂	renduokouza,rdkz
人多阙少	renduoqueshao,rdqs
人多势众	renduoshizhong,rdsz
人多手杂	renduoshouza,rdsz
人多嘴杂	renduozuiza,rdzz
人痾	renke,rk
人厄	rene,re
人儿	rener,re
人而无信	renerwuxin,rewx
人犯	renfan,rf
人范	renfan,rf
人贩子	renfanzi,rfz
人方	renfang,rf
人防	renfang,rf
人防工程	renfanggongcheng,rfgc
人非草木	renfeicaomu,rfcm
人非木石	renfeimushi,rfms
人非圣贤	renfeishengxian,rfsx
人非土木	renfeitumu,rftm
人非物是	renfeiwushi,rfws
人风	renfeng,rf
人封	renfeng,rf
人逢喜事精神爽	renfengxishijingshenshuang,rfxsjss
人缝	renfeng,rf
人夫	renfu,rf
人浮于食	renfuyushi,rfys
人浮于事	renfuyushi,rfys
人纲	rengang,rg
人高马大	rengaomada,rgmd
人膏	rengao,rg
人格	renge,rg
人格化	rengehua,rgh
人格魅力	rengemeili,rgml
人格神	rengeshen,rgs
人鬲	renge,rg
人各有所好	rengeyousuohao,rgysh
人各有志	rengeyouzhi,rgyz
人给家足	renjijiazu,rjjz
人工	rengong,rg
