复职	fuzhi,fz
复殖目	fuzhimu,fzm
复殖吸虫	fuzhixichong,fzxc
复制	fuzhi,fz
复制品	fuzhipin,fzp
复种	fuzhong,fz
复种指数	fuzhongzhishu,fzzs
复重	fuzhong,fz
复转	fuzhuan,fz
复壮	fuzhuang,fz
复资	fuzi,fz
复子	fuzi,fz
复子明辟	fuzimingbi,fzmb
复梓	fuzi,fz
复字	fuzi,fz
复租	fuzu,fz
复卒	fuzu,fz
复作	fuzuo,fz
复胙	fuzuo,fz
