敌百虫	dibaichong,dbc
敌不可假	dibukejia,dbkj
敌不可纵	dibukezong,dbkz
敌产	dichan,dc
敌场	dichang,dc
敌雠	dichou,dc
敌党	didang,dd
敌档	didang,dd
敌地	di,d
敌等	dideng,dd
敌敌畏	diwei,dw
敌斗	didou,dd
敌对	didui,dd
敌对地	diduide,ddd
敌对性	diduixing,ddx
敌方	difang,df
敌方地	difangde,dfd
敌氛	difen,df
敌工	digong,dg
敌国	diguo,dg
敌国通舟	diguotongzhou,dgtz
敌国外患	diguowaihuan,dgwh
敌害	dihai,dh
敌衡	diheng,dh
敌后	dihou,dh
敌惠敌怨	dihuiyuan,dhy
敌机	diji,dj
敌基督	dijidu,djd
敌舰	dijian,dj
敌将	dijiang,dj
敌境	dijing,dj
敌军	dijun,dj
敌忾	dikai,dk
敌忾同仇	dikaitongchou,dktc
敌寇	dikou,dk
敌垒	dilei,dl
敌礼	dili,dl
敌力角气	dilijiaoqi,dljq
敌寮	diliao,dl
敌楼	dilou,dl
敌卤	dilu,dl
敌虏	dilu,dl
敌面	dimian,dm
敌侔	dimou,dm
敌拟	dini,dn
敌偶	diou,do
敌耦	diou,do
敌骑	diqi,dq
敌情	diqing,dq
敌酋	diqiu,dq
敌区	diqu,dq
敌人	diren,dr
敌日	diri,dr
敌弱	diruo,dr
敌赛	disai,ds
敌杀死	dishasi,dss
敌视	dishi,ds
敌手	dishou,ds
敌台	ditai,dt
敌探	ditan,dt
敌特	dite,dt
敌特分子	ditefenzi,dtfz
敌体	diti,dt
敌庭	diting,dt
敌头	ditou,dt
敌顽	diwan,dw
敌王所忾	diwangsuokai,dwsk
敌伪	diwei,dw
敌我	diwo,dw
敌我矛盾	diwomaodun,dwmd
敌衅	dixin,dx
敌焰	diyan,dy
敌意	diyi,dy
敌饮	diyin,dy
敌应	diying,dy
敌营	diying,dy
敌友	diyou,dy
敌与	diyu,dy
敌占区	dizhanqu,dzq
敌战	dizhan,dz
敌阵	dizhen,dz
敌挣	dizheng,dz
敌众我寡	dizhongwogua,dzwg
