畸变	jibian,jb
畸功	jigong,jg
畸躬	jigong,jg
畸孤	jigu,jg
畸鬼	jigui,jg
畸迹	ji,j
畸角	jijiao,jj
畸节	jijie,jj
畸畯	jijun,jj
畸客	jike,jk
畸零	jiling,jl
畸流洽客	jiliuqiake,jlqk
畸流逸客	jiliuyike,jlyk
畸民	jimin,jm
畸僻	jipi,jp
畸轻畸重	jiqingzhong,jqz
畸穷	jiqiong,jq
畸人	jiren,jr
畸日	jiri,jr
畸尚	jishang,js
畸士	jishi,js
畸胎	jitai,jt
畸胎瘤	jitailiu,jtl
畸态	jitai,jt
畸翁	jiweng,jw
畸羡	jixian,jx
畸行	jixing,jx
畸形	jixing,jx
畸形儿	jixinger,jxe
畸形秀	jixingxiu,jxx
畸型	jixing,jx
畸型地	jixingde,jxd
畸异	jiyi,jy
畸余	jiyu,jy
畸重	jizhong,jz
畸重畸轻	jizhongqing,jzq
