四阿	sia,sa
四爱	siai,sa
四奥	siao,sa
四隩	siao,sa
四八	siba,sb
四白	sibai,sb
四百四病	sibaibing,sbb
四百州	sibaizhou,sbz
四拜	sibai,sb
四背	sibei,sb
四倍地	sibeide,sbd
四辈	sibei,sb
四鄙	sibi,sb
四弼	sibi,sb
四蔽	sibi,sb
四壁	sibi,sb
四壁空	sibikong,sbk
四壁厢	sibixiang,sbx
四壁萧然	sibixiaoran,sbxr
四边	sibian,sb
四边浄	sibianjing,sbj
四边凈	sibianjing,sbj
四边形	sibianxing,sbx
四边形地	sibianxingde,sbxd
四表	sibiao,sb
四并	sibing,sb
四并堂	sibingtang,sbt
四病	sibing,sb
四钵	sibo,sb
四蕃	sifan,sf
四伯	sibo,sb
四不拗六	sibuniuliu,sbnl
四不相	sibuxiang,sbx
四不像	sibuxiang,sbx
四布	sibu,sb
四布衣	sibuyi,sby
四部	sibu,sb
四部曲	sibuqu,sbq
四部书	sibushu,sbs
四部众	sibuzhong,sbz
四才三实	sicaisanshi,scss
四参	sican,sc
四察	sicha,sc
四禅	sichan,sc
四禅定	sichanding,scd
四禅天	sichantian,sct
四畅	sichang,sc
四尘	sichen,sc
四臣	sichen,sc
四辰	sichen,sc
四陈	sichen,sc
四趁	sichen,sc
四称	sicheng,sc
四城	sicheng,sc
四驰	sichi,sc
四冲	sichong,sc
四冲八达	sichongbada,scbd
四冲六达	sichongliuda,scld
四愁	sichou,sc
四愁诗	sichoushi,scs
四出	sichu,sc
四出文钱	sichuwenqian,scwq
四处	sichu,sc
四川	sichuan,sc
四川大地震	sichuandadizhen,scddz
四川大学	sichuandaxue,scdx
四川林鸮	sichuanlinxiao,sclx
四川柳莺	sichuanliuying,scly
四川盆地	sichuanpendi,scpd
四川日报	sichuanribao,scrb
四川山鹧鸪	sichuanshanzhegu,scszg
四川省	sichuansheng,scs
四川外国语大学	sichuanwaiguoyudaxue,scwgydx
四川旋木雀	sichuanxuanmuque,scxmq
四川雉鹑	sichuanzhichun,sczc
四垂	sichui,sc
四次	sici,sc
四聪	sicong,sc
四从	sicong,sc
四萃	sicui,sc
四存	sicun,sc
四寸珠	sicunzhu,scz
四达	sida,sd
四答和身转	sidaheshenzhuan,sdhsz
四打连身转	sidalianshenzhuan,sdlsz
四大	sida,sd
四大部洲	sidabuzhou,sdbz
四大发明	sidafaming,sdfm
四大佛教名山	sidafojiaomingshan,sdfjms
四大家族	sidajiazu,sdjz
四大皆空	sidajiekong,sdjk
四大金刚	sidajingang,sdjg
四大空	sidakong,sdk
四大美女	sidameinu,sdmn
四大名著	sidamingzhu,sdmz
四大盆地	sidapendi,sdpd
四大石窟	sidashiku,sdsk
四大天王	sidatianwang,sdtw
四大须生	sidaxusheng,sdxs
四大洋	sidayang,sdy
四大洲	sidazhou,sdz
四代	sidai,sd
四带	sidai,sd
四殆	sidai,sd
四倒	sidao,sd
四德	side,sd
四等	sideng,sd
四谛	sidi,sd
四睇	sidi,sd
四碟八碗	sidiebawan,sdbw
四斗五方	sidouwufang,sdwf
四渎	sidu,sd
四堵墙	siduqiang,sdq
四端	siduan,sd
四对	sidui,sd
四恶	sie,se
四恩	sien,se
四伐	sifa,sf
四番	sifan,sf
四藩	sifan,sf
四犯	sifan,sf
四饭	sifan,sf
四梵	sifan,sf
四梵天	sifantian,sft
四方	sifang,sf
四方八面	sifangbamian,sfbm
四方步	sifangbu,sfb
四方辐辏	sifangfucou,sffc
四方馆	sifangguan,sfg
四方脸	sifanglian,sfl
四方帽	sifangmao,sfm
四方区	sifangqu,sfq
四方台	sifangtai,sft
四方台区	sifangtaiqu,sftq
四方之志	sifangzhi,sfz
四方志	sifangzhi,sfz
四放	sifang,sf
四飞	sifei,sf
四妃	sifei,sf
四分	sifen,sf
四分历	sifenli,sfl
四分卫	sifenwei,sfw
四分位数	sifenweishu,sfws
四分五裂	sifenwulie,sfwl
四分五落	sifenwuluo,sfwl
四分五剖	sifenwupou,sfwp
四分音符	sifenyinfu,sfyf
四分之一	sifenzhiyi,sfzy
四纷五落	sifenwuluo,sfwl
四封	sifeng,sf
四伏	sifu,sf
四氟化硅	sifuhuagui,sfhg
四氟化铀	sifuhuayou,sfhy
四府	sifu,sf
四辅	sifu,sf
四赋	sifu,sf
四膏	sigao,sg
四格	sige,sg
四个全面	sigequanmian,sgqm
四个现代化	sigexiandaihua,sgxdh
四更	sigeng,sg
四公子	sigongzi,sgz
四功五法	sigongwufa,sgwf
四攻	sigong,sg
四谷	sigu,sg
四顾	sigu,sg
四关	siguan,sg
四圭	sigui,sg
四郭	siguo,sg
四国	siguo,sg
四国犬	siguoquan,sgq
四果	siguo,sg
四海	sihai,sh
四海波静	sihaibojing,shbj
四海承风	sihaichengfeng,shcf
四海鼎沸	sihaidingfei,shdf
四海皆兄弟	sihaijiexiongdi,shjxd
四海皆准	sihaijiezhun,shjz
四海九州	sihaijiuzhou,shjz
四海飘零	sihaipiaoling,shpl
四海升平	sihaishengping,shsp
四海他人	sihaitaren,shtr
四海为家	sihaiweijia,shwj
四海一家	sihaiyijia,shyj
四海之内皆兄弟	sihaizhineijiexiongdi,shznjxd
四害	sihai,sh
四貉	simo,sm
四豪	sihao,sh
四号电池	sihaodianchi,shdc
四耗九丑	sihaojiuchou,shjc
四皓	sihao,sh
四合	sihe,sh
四合房	sihefang,shf
四合头	sihetou,sht
四合院	siheyuan,shy
四合院儿	siheyuaner,shye
四和	sihe,sh
四弘	sihong,sh
四弘誓愿	sihongshiyuan,shsy
四呼	sihu,sh
四胡	sihu,sh
四湖	sihu,sh
四湖乡	sihuxiang,shx
四虎	sihu,sh
四户	sihu,sh
四花	sihua,sh
四华	sihua,sh
四化	sihua,sh
四环素	sihuansu,shs
四患	sihuan,sh
四荒	sihuang,sh
四荒八极	sihuangbaji,shbj
四黄	sihuang,sh
四会	sihui,sh
四会市	sihuishi,shs
四豁	sihuo,sh
四祸	sihuo,sh
四击	siji,sj
四击头	sijitou,sjt
四机	siji,sj
四畿	siji,sj
四稽	siji,sj
四级	siji,sj
四级士官	sijishiguan,sjsg
四极	siji,sj
四集	siji,sj
四忌	siji,sj
四季	siji,sj
四季调	sijidiao,sjd
四季豆	sijidou,sjd
四季豆腐	sijidoufu,sjdf
四季如春	sijiruchun,sjrc
四祭	siji,sj
四家诗	sijiashi,sjs
四甲	sijia,sj
四奸	sijian,sj
四监	sijian,sj
四件	sijian,sj
四谏	sijian,sj
四溅	sijian,sj
四疆	sijiang,sj
四郊	sijiao,sj
四郊多垒	sijiaoduolei,sjdl
四角	sijiao,sj
四角地	sijiaode,sjd
四角号码	sijiaohaoma,sjhm
四角号码查字法	sijiaohaomachazifa,sjhmczf
四角俱全	sijiaojuquan,sjjq
四角裤	sijiaoku,sjk
四角形	sijiaoxing,sjx
四角柱体	sijiaozhuti,sjzt
四脚	sijiao,sj
四脚朝天	sijiaochaotian,sjct
四脚拉叉	sijiaolacha,sjlc
四脚蛇	sijiaoshe,sjs
四教	sijiao,sj
四节	sijie,sj
四杰	sijie,sj
四解	sijie,sj
四界	sijie,sj
四金	sijin,sj
四金刚	sijingang,sjg
四近	sijin,sj
四禁	sijin,sj
四京	sijing,sj
四泾	sijing,sj
四景	sijing,sj
四竟	sijing,sj
四境	sijing,sj
四旧	sijiu,sj
四句	siju,sj
四聚	siju,sj
四绝	sijue,sj
四绝碑	sijuebei,sjb
四君子	sijunzi,sjz
四俊	sijun,sj
四科	sike,sk
四空	sikong,sk
四孔	sikong,sk
四苦	siku,sk
四库	siku,sk
四库全书	sikuquanshu,skqs
四库书	sikushu,sks
四夔	sikui,sk
四廊	silang,sl
四老	silao,sl
四类	silei,sl
四棱	sileng,sl
四棱简	silengjian,slj
四楞	sileng,sl
四楞锏	silengjian,slj
四离	sili,sl
四离四绝	silijue,slj
四礼	sili,sl
四立	sili,sl
四联单	siliandan,sld
四两拨千斤	siliangboqianjin,slbqj
四两红肉	silianghongrou,slhr
四列	silie,sl
四邻	silin,sl
四邻八舍	silinbashe,slbs
四临	silin,sl
四灵	siling,sl
四六	siliu,sl
四六风	siliufeng,slf
四六骈俪	siliupianli,slpl
四六体	siliuti,slt
四六文	siliuwen,slw
四履	silu,sl
四律五论	siluwulun,slwl
四氯化碳	siluhuatan,slht
四氯乙烯	siluyixi,slyx
四轮	silun,sl
四轮定位	silundingwei,sldw
四轮马车	silunmache,slmc
四轮驱动	silunqudong,slqd
四论	silun,sl
四论宗	silunzong,slz
四罗	siluo,sl
四马	sima,sm
四马攒蹄	simacuanti,smct
四美	simei,sm
四门	simen,sm
四门博士	simenboshi,smbs
四门弟子	simendizi,smdz
四门斗里	simendouli,smdl
四门馆	simenguan,smg
四门轿车	simenjiaoche,smjc
四门学	simenxue,smx
四孟	simeng,sm
四密	simi,sm
四眠	simian,sm
四面	simian,sm
四面八方	simianbafang,smbf
四面碑	simianbei,smb
四面出击	simianchuji,smcj
四面楚歌	simianchuge,smcg
四面受敌	simianshoudi,smsd
四面体	simianti,smt
四庙	simiao,sm
四民	simin,sm
四民之天	siminzhitian,smzt
四明	siming,sm
四明狂监	simingkuangjian,smkj
四明狂客	simingkuangke,smkk
四明南词	simingnanci,smnc
四冥	siming,sm
四溟	siming,sm
四命	siming,sm
四末	simo,sm
四目	simu,sm
四难	sinan,sn
四逆	sini,sn
四睨	sini,sn
四鸟	siniao,sn
四佞	sining,sn
四弩	sinu,sn
四畔	sipan,sp
四旁	sipang,sp
四裴	sipei,sp
四配	sipei,sp
四辟	sipi,sp
四品乐	sipinle,spl
四平	siping,sp
四平八稳	sipingbawen,spbw
四平地区	sipingdiqu,spdq
四平市	sipingshi,sps
四脯着地	sifuzhaodi,sfzd
四铺子着地	sipuzizhaodi,spzzd
四七	siqi,sq
四戚	siqi,sq
四其御史	siqiyushi,sqys
四起	siqi,sq
四起八拜	siqibabai,sqbb
四气	siqi,sq
四器	siqi,sq
四强	siqiang,sq
四强赛	siqiangsai,sqs
四氢大麻酚	siqingdamafen,sqdmf
四轻	siqing,sq
四清	siqing,sq
四清六活	siqingliuhuo,sqlh
四清运动	siqingyundong,sqyd
四穷	siqiong,sq
四秋	siqiu,sq
四驱车	siquche,sqc
四衢	siqu,sq
四衢八街	siqubajie,sqbj
四扰	sirao,sr
四人	siren,sr
四人帮	sirenbang,srb
四人杰	sirenjie,srj
四人天	sirentian,srt
四日市	sirishi,srs
四日市市	sirishi,srs
四乳	siru,sr
四入头	sirutou,srt
四塞	sisai,ss
四腮鲈	sisailu,ssl
四三	sisan,ss
四散	sisan,ss
四散奔逃	sisanbentao,ssbt
四散地	sisande,ssd
四山五岳	sishanwuyue,sswy
四扇屏	sishanping,ssp
四膳	sishan,ss
四上	sishang,ss
四梢	sishao,ss
四稍	sishao,ss
四少	sishao,ss
四舍五入	sishewuru,sswr
四射	sishe,ss
四摄	sishe,ss
四深	sishen,ss
四神	sishen,ss
四神纹	sishenwen,ssw
四生	sisheng,ss
四声	sisheng,ss
四声杜鹃	sishengdujuan,ssdj
四圣	sisheng,ss
四圣谛	sishengdi,ssd
四失	sishi,ss
四诗	sishi,ss
四施	sishi,ss
四十	sishi,ss
四十八分算潮	sishibafensuanchao,ssbfsc
四十二章经	sishierzhangjing,ssezj
四时	sishi,ss
四时八节	sishibajie,ssbj
四时菜	sishicai,ssc
四时充美	sishichongmei,sscm
四时节	sishijie,ssj
四时舞	sishiwu,ssw
四时之气	sishizhiqi,sszq
四时主	sishizhu,ssz
四实	sishi,ss
四食	sishi,ss
四食时	sishi,ss
四史	sishi,ss
四始	sishi,ss
四士	sishi,ss
四氏学	sishixue,ssx
四世	sishi,ss
四世三公	sishisangong,sssg
四世同堂	sishitongtang,sstt
四试	sishi,ss
四守	sishou,ss
四兽	sishou,ss
四书	sishu,ss
四书文	sishuwen,ssw
四书五经	sishuwujing,sswj
四书院	sishuyuan,ssy
四叔	sishu,ss
四输	sishu,ss
四术	sishu,ss
四双八拜	sishuangbabai,ssbb
四司	si,s
四司六局	siliuju,slj
四碳糖	sitantang,stt
四唐	sitang,st
四体	siti,st
四体百骸	sitibaihai,stbh
四体不勤	sitibuqin,stbq
四天	sitian,st
四天王	sitianwang,stw
四田	sitian,st
四条	sitiao,st
四眺	sitiao,st
四铁御史	sitieyushi,stys
四亭八当	sitingbadang,stbd
四停八当	sitingbadang,stbd
四通	sitong,st
四通八达	sitongbada,stbd
四通五达	sitongwuda,stwd
四同	sitong,st
四统	sitong,st
四头肌	sitouji,stj
四涂	situ,st
四推	situi,st
四隤山	situishan,sts
四外	siwai,sw
四王	siwang,sw
四望	siwang,sw
四望车	siwangche,swc
四危	siwei,sw
四威仪	siweiyi,swy
四隈	siwei,sw
四围	siwei,sw
四维	siwei,sw
四维空间	siweikongjian,swkj
四卫	siwei,sw
四位	siwei,sw
四味果	siweiguo,swg
四味木	siweimu,swm
四翁	siweng,sw
四屋	siwu,sw
四无量心	siwuliangxin,swlx
四勿	siwu,sw
四务	siwu,sw
四物	siwu,sw
四物汤	siwutang,swt
四遐	sixia,sx
四辖	sixia,sx
四下	sixia,sx
四下里	sixiali,sxl
四仙桌	sixianzhuo,sxz
四先生	sixiansheng,sxs
四闲	sixian,sx
四弦	sixian,sx
四弦曲	sixianqu,sxq
四显	sixian,sx
四险	sixian,sx
四县	sixian,sx
四县腔	sixianqiang,sxq
四乡	sixiang,sx
四相	sixiang,sx
四香阁	sixiangge,sxg
四厢	sixiang,sx
四厢乐歌	sixiangyuege,sxyg
四祥	sixiang,sx
四向	sixiang,sx
四项基本原则	sixiangjibenyuanze,sxjbyz
四象	sixiang,sx
四小龙	sixiaolong,sxl
四校	sixiao,sx
四新	sixin,sx
四星	sixing,sx
四行	sihang,sh
四姓	sixing,sx
四姓小侯	sixingxiaohou,sxxh
四凶	sixiong,sx
四休	sixiu,sx
四休居士	sixiujushi,sxjs
四虚	sixu,sx
四序	sixu,sx
四旋体诗	sixuantishi,sxts
四选	sixuan,sx
四学	sixue,sx
四学士	sixueshi,sxs
四旬节	sixunjie,sxj
四旬斋	sixunzhai,sxz
四牙子朝上	siyazichaoshang,syzcs
四衙门	siyamen,sym
四言	siyan,sy
四言八句	siyanbaju,sybj
四言诗	siyanshi,sys
四筵	siyan,sy
四檐	siyan,sy
四眼田鸡	siyantianji,sytj
四殃	siyang,sy
四仰八叉	siyangbacha,sybc
四要	siyao,sy
四野	siye,sy
四业	siye,sy
四叶草	siyecao,syc
四一二	siyier,sye
四一二惨案	siyiercanan,syeca
四一二反革命政变	siyierfangemingzhengbian,syefgmzb
四一二事变	siyiershibian,syesb
四仪	siyi,sy
四夷	siyi,sy
四夷馆	siyiguan,syg
四乙基铅中毒	siyijiqianzhongdu,syjqzd
四义	siyi,sy
四艺	siyi,sy
四译馆	siyiguan,syg
四益	siyi,sy
四溢	siyi,sy
四裔	siyi,sy
四姻九戚	siyinjiuqi,syjq
四垠	siyin,sy
四饮	siyin,sy
四隐	siyin,sy
四印	siyin,sy
四英	siying,sy
四营	siying,sy
四瀛	siying,sy
四鄘	siyong,sy
四墉	siyong,sy
四游	siyou,sy
四友	siyou,sy
四隅	siyu,sy
四宇	siyu,sy
四域	siyu,sy
四元	siyuan,sy
四元数	siyuanshu,sys
四垣	siyuan,sy
四援	siyuan,sy
四远	siyuan,sy
四院	siyuan,sy
四月	siyue,sy
四月八	siyueba,syb
四月梵	siyuefan,syf
四月份	siyuefen,syf
四岳	siyue,sy
四运	siyun,sy
四韵	siyun,sy
四韵诗	siyunshi,sys
四匝	siza,sz
四载	sizai,sz
四则	size,sz
四则运算	sizeyunsuan,szys
四战	sizhan,sz
四战之地	sizhanzhidi,szzd
四战之国	sizhanzhiguo,szzg
四兆	sizhao,sz
四照	sizhao,sz
四照花	sizhaohua,szh
四真	sizhen,sz
四诊	sizhen,sz
四镇	sizhen,sz
四征	sizheng,sz
四正	sizheng,sz
四正四奇	sizhengqi,szq
四之日	sizhiri,szr
四支	sizhi,sz
四枝	sizhi,sz
四知	sizhi,sz
四知金	sizhijin,szj
四肢	sizhi,sz
四肢百骸	sizhibaihai,szbh
四肢百体	sizhibaiti,szbt
