地媪	diao,da
地板	diban,db
地板革	dibange,dbg
地板蜡	dibanla,dbl
地板砖	dibanzhuan,dbz
地磅	dibang,db
地宝	dibao,db
地保	dibao,db
地堡	dibao,db
地暴十寒	dipushihan,dpsh
地北天南	dibeitiannan,dbtn
地崩山摧	dibengshancui,dbsc
地比	dibi,db
地边	dibian,db
地变	dibian,db
地标	dibiao,db
地表	dibiao,db
地表火	dibiaohuo,dbh
地表水	dibiaoshui,dbs
地鳖	dibie,db
地鳖虫	dibiechong,dbc
地波	dibo,db
地鵏	dibu,db
地不怕	dibupa,dbp
地步	dibu,db
地财	dicai,dc
地蚕	dican,dc
地藏	dizang,dz
地藏节	dicangjie,dcj
地藏菩萨	dizangpusa,dzps
地藏寺	dizangsi,dzs
地藏王	dizangwang,dzw
地藏王菩萨	dizangwangpusa,dzwps
地层	diceng,dc
地层学	dicengxue,dcx
地产	dichan,dc
地产大亨	dichandaheng,dcdh
地场	dichang,dc
地坼	diche,dc
地坼天崩	dichetianbeng,dctb
地秤	dicheng,dc
地丑德齐	dichoudeqi,dcdq
地丑力敌	dichouli,dcl
地处	dichu,dc
地穿甲	dichuanjia,dcj
地磁	dici,dc
地磁场	dicichang,dcc
地磁极	diciji,dcj
地大物博	didawubo,ddwb
地带	didai,dd
地带性	didaixing,ddx
地胆	didan,dd
地蛋	didan,dd
地道	didao,dd
地道战	didaozhan,ddz
地德	dide,dd
地地道道	didao,dd
地底	di,d
地点	didian,dd
地电	didian,dd
地调	didiao,dd
地丁	diding,dd
地东	didong,dd
地动	didong,dd
地动山摧	didongshancui,ddsc
地动山摇	didongshanyao,ddsy
地动说	didongshuo,dds
地动仪	didongyi,ddy
地洞	didong,dd
地豆	didou,dd
地段	diduan,dd
地对空导弹	diduikongdaodan,ddkdd
地碓	didui,dd
地儿	dier,de
地耳	dier,de
地方	difang,df
地方病	difangbing,dfb
地方部队	difangbudui,dfbd
地方法院	difangfayuan,dffy
地方分权	difangfenquan,dffq
地方官	difangguan,dfg
地方话	difanghua,dfh
地方民族主义	difangminzuzhuyi,dfmzzy
地方色彩	difangsecai,dfsc
地方时	difangshi,dfs
地方税	difangshui,dfs
地方武装	difangwuzhuang,dfwz
地方戏	difangxi,dfx
地方戏曲	difangxiqu,dfxq
地方性	difangxing,dfx
地方性斑疹伤寒	difangxingbanzhenshanghan,dfxbzsh
地方性法规	difangxingfagui,dfxfg
地方性植物	difangxingzhiwu,dfxzw
地方志	difangzhi,dfz
地方主义	difangzhuyi,dfzy
地方自治	difangzizhi,dfzz
地分	difen,df
地肤	difu,df
地肤子	difuzi,dfz
地符	difu,df
地府	difu,df
地负海涵	difuhaihan,dfhh
地傅	difu,df
地覆天翻	difutianfan,dftf
地膏	digao,dg
地阁	dige,dg
地格	dige,dg
地根	digen,dg
地埂	digeng,dg
地工	digong,dg
地公	digong,dg
地宫	digong,dg
地贡	digong,dg
地沟	digou,dg
地沟油	digouyou,dgy
地骨	digu,dg
地骨皮	digupi,dgp
地瓜	digua,dg
地瓜面	diguamian,dgm
地关	diguan,dg
地官	diguan,dg
地光	diguang,dg
地广人希	diguangrenxi,dgrx
地广人稀	diguangrenxi,dgrx
地龟	digui,dg
地滚球	digunqiu,dgq
地棍	digun,dg
地函	dihan,dh
地寒	dihan,dh
地核	dihe,dh
地纮	dihong,dh
地侯	dihou,dh
