庚白	gengbai,gb
庚伯	gengbo,gb
庚偿	gengchang,gc
庚辰	gengchen,gc
庚齿	gengchi,gc
庚弟	gengdi,gd
庚伏	gengfu,gf
庚符	gengfu,gf
庚庚	geng,g
庚癸	genggui,gg
庚癸诺	gengguinuo,ggn
庚癸频呼	gengguipinhu,ggph
庚癸之呼	gengguizhihu,ggzh
庚虎	genghu,gh
庚甲	gengjia,gj
庚泥	gengni,gn
庚牌	gengpai,gp
庚壬	gengren,gr
庚桑	gengsang,gs
庚申	gengshen,gs
庚申帝	gengshendi,gsd
庚暑	gengshu,gs
庚糖	gengtang,gt
庚帖	gengtie,gt
庚午	gengwu,gw
庚信	gengxin,gx
庚兄	gengxiong,gx
庚戌	gengxu,gx
庚穴	gengxue,gx
庚寅	gengyin,gy
庚邮	gengyou,gy
庚子	gengzi,gz
庚子国变	gengziguobian,gzgb
