尔曹	ercao,ec
尔德	erde,ed
尔等	erdeng,ed
尔尔	er,e
尔耳	er,e
尔格	erge,eg
尔后	erhou,eh
尔刻	erke,ek
尔来	erlai,el
尔绵	ermian,em
尔乃	ernai,en
尔其	erqi,eq
尔日	erri,er
尔汝	erru,er
尔汝歌	erruge,erg
尔汝交	errujiao,erj
尔汝之交	erruzhijiao,erzj
尔时	ershi,es
尔夕	erxi,ex
尔馨	erxin,ex
尔许	erxu,ex
尔雅	erya,ey
尔虞我诈	eryuwozha,eywz
尔诈我虞	erzhawoyu,ezwy
尔朱	erzhu,ez
