狙伺	jusi,js
狙刺	juci,jc
狙伏	jufu,jf
狙缚	jufu,jf
狙公	jugong,jg
狙犷	juguang,jg
狙诡	jugui,jg
狙害	juhai,jh
狙候	juhou,jh
狙猾	juhua,jh
狙击	juji,jj
狙击手	jujishou,jjs
狙狡	jujiao,jj
狙狙	ju,j
狙谲	jujue,jj
狙侩	jukuai,jk
狙狯	jukuai,jk
狙狂	jukuang,jk
狙觑	juqu,jq
狙如	juru,jr
狙慝	jute,jt
狙喜	juxi,jx
狙险	juxian,jx
狙学	juxue,jx
狙杙	juyi,jy
狙猿	juyuan,jy
狙贼	juzei,jz
狙诈	juzha,jz
