儁拔	junba,jb
儁才	juncai,jc
儁材	juncai,jc
儁出	junchu,jc
儁德	junde,jd
儁发	junfa,jf
儁功	jungong,jg
儁杰	junjie,jj
儁桀	junjie,jj
儁捷	junjie,jj
儁朗	junlang,jl
儁良	junliang,jl
儁令	junling,jl
儁迈	junmai,jm
儁髦	junmao,jm
儁茂	junmao,jm
儁气	junqi,jq
儁声	junsheng,js
儁识	junshi,js
儁爽	junshuang,js
儁俗	junsu,js
儁望	junwang,jw
儁伟	junwei,jw
儁侠	junxia,jx
儁贤	junxian,jx
儁雄	junxiong,jx
儁秀	junxiu,jx
儁彦	junyan,jy
儁乂	junyi,jy
儁异	junyi,jy
儁逸	junyi,jy
儁颖	junying,jy
儁远	junyuan,jy
