侄娣	zhidi,zd
侄儿	zhier,ze
侄儿媳妇	zhierxifu,zexf
侄儿子	zhierzi,zez
侄妇	zhifu,zf
侄哥	zhige,zg
侄男	zhinan,zn
侄女	zhinu,zn
侄女儿	zhinuer,zne
侄女壻	zhinuxu,znx
侄女婿	zhinuxu,znx
侄少爷	zhishaoye,zsy
侄兽	zhishou,zs
侄孙	zhisun,zs
侄孙妇	zhisunfu,zsf
侄孙女	zhisunnu,zsn
侄外孙	zhiwaisun,zws
侄外孙女	zhiwaisunnu,zwsn
侄媳妇	zhixifu,zxf
侄子	zhizi,zz
