兢惭	jingcan,jc
兢持	jingchi,jc
兢怀	jinghuai,jh
兢惶	jinghuang,jh
兢魂	jinghun,jh
兢悸	jingji,jj
兢戒	jingjie,jj
兢兢	jing,j
兢兢干干	jinggan,jg
兢兢乾乾	jingqian,jq
兢兢业业	jingye,jy
兢兢翼翼	jingyi,jy
兢兢战战	jingzhan,jz
兢惧	jingju,jj
兢恪	jingke,jk
兢栗	jingli,jl
兢慎	jingshen,js
兢悚	jingsong,js
兢惕	jingti,jt
兢危	jingwei,jw
兢畏	jingwei,jw
兢严	jingyan,jy
兢业	jingye,jy
兢忧	jingyou,jy
兢战	jingzhan,jz
兢庄	jingzhuang,jz
兢灼	jingzhuo,jz
