急案	jian,ja
急巴巴	jiba,jb
急板	jiban,jb
急暴	jibao,jb
急绷绷	jibeng,jb
急迸格邦	jibenggebang,jbgb
急变	jibian,jb
急遍	jibian,jb
急彪各邦	jibiaogebang,jbgb
急兵	jibing,jb
急并各邦	jibinggebang,jbgb
急病	jibing,jb
急病让夷	jibingrangyi,jbry
急波波	jibo,jb
急不及待	jibudai,jbd
急不可待	jibukedai,jbkd
急不可耐	jibukenai,jbkn
急不暇择	jibuxiaze,jbxz
急不择路	jibuzelu,jbzl
急不择途	jibuzetu,jbzt
急不择言	jibuzeyan,jbzy
急步	jibu,jb
急叉白脸	jichabailian,jcbl
急茬儿	jichaer,jce
急潮	jichao,jc
急扯白脸	jichebailian,jcbl
急驰	jichi,jc
急持	jichi,jc
急赤白脸	jichibailian,jcbl
急冲冲	jichong,jc
急杵	jichu,jc
急杵捣心	jichudaoxin,jcdx
急处从宽	jichucongkuan,jcck
急传	jichuan,jc
急辞	jici,jc
急匆匆	jicong,jc
急匆匆地	jicongde,jcd
急凑	jicou,jc
急促	jicu,jc
急促地	jicude,jcd
急促地说	jicudeshuo,jcds
急促地谈	jicudetan,jcdt
急促而不清楚地说出	jicuerbuqingchudeshuo,jcebqcds
急带	jidai,jd
急待	jidai,jd
急稻子	jidaozi,jdz
急递	jidi,jd
急递铺	jidipu,jdp
急电	jidian,jd
急动地	jidongde,jdd
急斗	jidou,jd
急烦	jifan,jf
急方	jifang,jf
急放	jifang,jf
急忿	jifen,jf
急风	jifeng,jf
急风暴雨	jifengbaoyu,jfby
急风骤雨	jifengzhouyu,jfzy
急夫	jifu,jf
急缚	jifu,jf
急腹症	jifuzheng,jfz
急赶急地	jigande,jgd
急赶急地赶来了	jigandelaile,jgdll
急干	jigan,jg
急公	jigong,jg
急公好施	jigonghaoshi,jghs
急公好义	jigonghaoyi,jghy
急公近利	jigongjinli,jgjl
急功好利	jigonghaoli,jghl
急功近利	jigongjinli,jgjl
急功近名	jigongjinming,jgjm
急购	jigou,jg
急鼓	jigu,jg
急筦	jiguan,jg
急管	jiguan,jg
急管繁弦	jiguanfanxian,jgfx
急晷	jigui,jg
急聒	jiguo,jg
急吼吼	jihou,jh
急乎乎	jihu,jh
急呼呼	jihu,jh
急缓	jihuan,jh
急荒	jihuang,jh
急慌	jihuang,jh
急慌慌	jihuang,jh
急徽	jihui,jh
急婚族	jihunzu,jhz
急火	jihuo,jh
急火火	jihuo,jh
急激	ji,j
急急	ji,j
急急巴巴	jiba,jb
急急地	jide,jd
急急风	jifeng,jf
急急慌慌	jihuang,jh
急急煎煎	jijian,jj
急急忙忙	jimang,jm
急急如令	jiruling,jrl
急急如律令	jirululing,jrll
急疾	ji,j
急煎煎	jijian,jj
急件	jijian,jj
急健	jijian,jj
急涧	jijian,jj
急桨	jijiang,jj
急脚	jijiao,jj
急脚递	jijiaodi,jjd
急脚鬼	jijiaogui,jjg
急脚信	jijiaoxin,jjx
急脚子	jijiaozi,jjz
急节	jijie,jj
急捷	jijie,jj
急进	jijin,jj
急惊风撞着慢郎中	jijingfengzhuangzhemanlangzhong,jjfzzmlz
急惊列	jijinglie,jjl
急景	jiying,jy
急景凋年	jiyingdiaonian,jydn
急景流年	jijingliunian,jjln
急救	jijiu,jj
急救包	jijiubao,jjb
急救车	jijiuche,jjc
急救箱	jijiuxiang,jjx
急救站	jijiuzhan,jjz
急就	jijiu,jj
急就篇	jijiupian,jjp
急就章	jijiuzhang,jjz
急剧	jiju,jj
急剧地	jijude,jjd
急遽	jiju,jj
急浚	jijun,jj
急刻	jike,jk
急客	jike,jk
急口	jikou,jk
急口令	jikouling,jkl
急困	jikun,jk
急拉地	jilade,jld
急来报佛脚	jilaibaofojiao,jlbfj
急来抱佛脚	jilaibaofojiao,jlbfj
急濑	jilai,jl
急澜	jilan,jl
急泪	jilei,jl
急吏缓民	jilihuanmin,jlhm
急敛暴征	jilianbaozheng,jlbz
急烈	jilie,jl
急玲	jiling,jl
急溜	jiliu,jl
急溜溜	jiliu,jl
急流	jiliu,jl
急流地	jiliude,jld
急流勇进	jiliuyongjin,jlyj
急流勇退	jiliuyongtui,jlyt
急留古鲁	jiliugulu,jlgl
急留骨碌	jiliugulu,jlgl
急龙车	jilongche,jlc
急乱	jiluan,jl
急脉缓灸	jimaihuanjiu,jmhj
急脉缓受	jimaihuanshou,jmhs
急忙	jimang,jm
急忙地	jimangde,jmd
急忙地讲	jimangdejiang,jmdj
急忙忙	jimang,jm
急难	jinan,jn
急农	jinong,jn
急怒	jinu,jn
急拍繁弦	jipaifanxian,jpfx
急拍拍	jipai,jp
急派	jipai,jp
急迫	jipo,jp
急迫地	jipode,jpd
急骑	jiqi,jq
急起直追	jiqizhizhui,jqzz
急且	jiqie,jq
急切	jiqie,jq
急切地	jiqiede,jqd
急切地说	jiqiedeshuo,jqds
急穣穣	jirang,jr
急穰穰	jirang,jr
急攘攘	jirang,jr
急热	jire,jr
急人	jiren,jr
急人之困	jirenzhikun,jrzk
急人之难	jirenzhinan,jrzn
急如风火	jirufenghuo,jrfh
急如星火	jiruxinghuo,jrxh
急三火四	jisanhuosi,jshs
急三枪	jisanqiang,jsq
急三台	jisantai,jst
急刹车	jishache,jsc
