狐白	hubai,hb
狐白裘	hubaiqiu,hbq
狐奔鼠窜	hubenshucuan,hbsc
狐冰	hubing,hb
狐不二雄	hubuerxiong,hbex
狐步舞	hubuwu,hbw
狐禅	huchan,hc
狐唱枭和	huchangxiaohe,hcxh
狐臭	huchou,hc
狐刺	huci,hc
狐蝠	hufu,hf
狐父	hufu,hf
狐蛊	hugu,hg
狐怪	huguai,hg
狐鬼	hugui,hg
狐鬼神仙	huguishenxian,hgsx
狐貉	humo,hm
狐狢	huhe,hh
狐猴	huhou,hh
狐胡	hu,h
狐虎之威	huzhiwei,hzw
狐火	huhuo,hh
狐惑	huhuo,hh
狐藉虎威	hujiewei,hjw
狐假鸱张	hujiachizhang,hjcz
狐假虎威	hujiawei,hjw
狐襟貉袖	hujinmoxiu,hjmx
狐精	hujing,hj
狐剌	hula,hl
狐狼	hulang,hl
狐狸	huli,hl
狐狸精	hulijing,hlj
狐狸尾巴	huliweiba,hlwb
狐狸座	hulizuo,hlz
狐梨	huli,hl
狐棃	huli,hl
狐黎	huli,hl
狐梁	huliang,hl
狐埋狐搰	humai,hm
狐埋狐扬	humaiyang,hmy
狐媚	humei,hm
狐媚魇道	humeiyandao,hmyd
狐媚猿攀	humeiyuanpan,hmyp
狐媚子	humeizi,hmz
狐魅	humei,hm
狐魅疾	humeiji,hmj
狐獴	humeng,hm
狐迷	humi,hm
狐鸣篝火	huminggouhuo,hmgh
狐鸣篝中	huminggouzhong,hmgz
狐鸣狗盗	huminggoudao,hmgd
狐鸣枭噪	humingxiaozao,hmxz
狐鸣鱼书	humingyushu,hmys
狐尿刺疮	huniaocichuang,hncc
狐女	hunu,hn
狐朋狗党	hupenggoudang,hpgd
狐朋狗友	hupenggouyou,hpgy
狐皮	hupi,hp
狐凭鼠伏	hupingshufu,hpsf
狐岐	huqi,hq
狐潜鼠伏	huqianshufu,hqsf
狐肷	huqian,hq
狐嵌	huqian,hq
狐丘	huqiu,hq
狐丘首	huqiushou,hqs
狐裘	huqiu,hq
狐裘羔袖	huqiugaoxiu,hqgx
狐裘尨茸	huqiumengrong,hqmr
狐裘蒙戎	huqiumengrong,hqmr
狐裘蒙茸	huqiumengrong,hqmr
狐犬	huquan,hq
狐群狗党	huqungoudang,hqgd
狐狨	hurong,hr
狐塞	husai,hs
狐骚臭	husaochou,hsc
狐臊	husao,hs
狐疝	hushan,hs
狐神	hushen,hs
狐首	hushou,hs
狐首丘	hushouqiu,hsq
狐书	hushu,hs
狐鼠	hushu,hs
狐鼠之徒	hushuzhitu,hszt
狐死首丘	husishouqiu,hssq
狐死兔泣	husituqi,hstq
狐绥	husui,hs
狐听之声	hutingzhisheng,htzs
狐突	hutu,ht
狐兔	hutu,ht
狐兔之悲	hutuzhibei,htzb
狐腿儿	hutuier,hte
狐威	huwei,hw
狐尾单衣	huweidanyi,hwdy
狐文几	huwenji,hwj
狐仙	huxian,hx
狐祥	huxiang,hx
狐袖	huxiu,hx
狐续	huxu,hx
狐穴	huxue,hx
狐妖	huyao,hy
狐掖	huye,hy
狐腋	huye,hy
狐疑	huyi,hy
狐疑不决	huyibujue,hybj
狐赵	huzhao,hz
狐枕丘	huzhenqiu,hzq
