暑魃	shuba,sb
暑病	shubing,sb
暑絺	shuchi,sc
暑促	shucu,sc
暑簟	shudian,sd
暑伏	shufu,sf
暑寒	shuhan,sh
暑假	shujia,sj
暑来寒往	shulaihanwang,slhw
暑吏	shuli,sl
暑门	shumen,sm
暑疟	shunue,sn
暑期	shuqi,sq
暑期学校	shuqixuexiao,sqxx
暑气	shuqi,sq
暑热	shure,sr
暑溽	shuru,sr
暑湿	shushi,ss
暑岁	shusui,ss
暑天	shutian,st
暑往寒来	shuwanghanlai,swhl
暑温	shuwen,sw
暑瘟	shuwen,sw
暑绤	shuxi,sx
暑夏	shuxia,sx
暑雪	shuxue,sx
暑晏	shuyan,sy
暑暍	shuye,sy
暑夜	shuye,sy
暑衣	shuyi,sy
暑雨祁寒	shuyuqihan,syqh
暑月	shuyue,sy
