谱表	pubiao,pb
谱传	puchuan,pc
谱次	puci,pc
谱带	pudai,pd
谱第	pudi,pd
谱谍	pudie,pd
谱牒	pudie,pd
谱儿	puer,pe
谱分析	pufenxi,pfx
谱号	puhao,ph
谱籍	puji,pj
谱记	puji,pj
谱纪	puji,pj
谱架	pujia,pj
谱局	puju,pj
谱列	pulie,pl
谱録	pulu,pl
谱模	pumo,pm
谱气	puqi,pq
谱曲	puqu,pq
谱氏	pushi,ps
谱式	pushi,ps
谱帖	putie,pt
谱图	putu,pt
谱系	puxi,px
谱线	puxian,px
谱像	puxiang,px
谱写	puxie,px
谱叙	puxu,px
谱学	puxue,px
谱演	puyan,py
谱制	puzhi,pz
谱帙	puzhi,pz
谱主	puzhu,pz
谱注	puzhu,pz
谱状	puzhuang,pz
谱子	puzi,pz
