缥被	piaobei,pb
缥碧	piaobi,pb
缥瓷	piaoci,pc
缥带	piaodai,pd
缥红	piaohong,ph
缥节	piaojie,pj
缥酒	piaojiu,pj
缥醪	piaolao,pl
缥李	piaoli,pl
缥眇	piaomiao,pm
缥渺	piaomiao,pm
缥缈	piaomiao,pm
缥囊	piaonang,pn
缥缥	piao,p
缥气	piaoqi,pq
缥青	piaoqing,pq
缥清	piaoqing,pq
缥色	piaose,ps
缥书	piaoshu,ps
缥瓦	piaowa,pw
缥缃	piaoxiang,px
缥霄	piaoxiao,px
缥烟	piaoyan,py
缥玉	piaoyu,py
缥帙	piaozhi,pz
缥致	piaozhi,pz
